Country,Cholera COV
Spain,3.513868227671121
Nepal,3.298659370454727
South Africa,2.954267920165023
Zimbabwe,2.8599306472438255
Italy,2.8330253609695357
Cabo Verde,2.7078329224756477
Russian Federation,2.697688179541274
Liberia,2.673549204082432
China,2.563844569768534
Gabon,2.5508091808566835
Uganda,2.48941180738639
Israel,2.3893665771365553
Eswatini,2.387242637842914
Senegal,2.363492867907921
Gambia,2.34767370486126
Yemen,2.3209571896634498
Cameroon,2.2507248323883537
Viet Nam,2.2101811996668563
Micronesia (Federated States of),2.197035320118694
Morocco,2.1934649910483
Republic of Korea,2.1588318360170424
Guinea,2.1384732250930236
Iran (Islamic Republic of),2.1127224816385084
Namibia,2.0628588366784633
Ecuador,2.017213152838768
Bahrain,2.01597193155158
Sri Lanka,2.0106779231373344
Equatorial Guinea,2.0099335714312714
Seychelles,2.0
Djibouti,1.9793632031940673
Eritrea,1.9778401987652723
Benin,1.96742866519326
Malawi,1.9052940244784495
Madagascar,1.8973205364218075
Pakistan,1.8555621703345284
Angola,1.8545222954492495
Nigeria,1.8410822580235178
Cambodia,1.82216815264662
Kuwait,1.7916844960353187
Australia,1.7590062639714852
Mexico,1.7577340889511737
Peru,1.7421054250252261
Kazakhstan,1.7408820579698236
Rwanda,1.7122010641082257
Lebanon,1.6855802154519102
Congo,1.6844509760315747
Côte d'Ivoire,1.6539801704156025
Turkmenistan,1.6511884523339087
Kenya,1.646559475505167
Republic of Moldova,1.638687095958626
Lao People's Democratic Republic,1.6364895118286242
Iraq,1.6364226399458268
Sierra Leone,1.6272581038651788
Tunisia,1.6155965962150705
Dominican Republic,1.5992041119511433
Brazil,1.593206260458361
Togo,1.5853940714602042
Ethiopia,1.5744323397264612
Myanmar,1.570381359044976
India,1.5446388144686443
Comoros,1.5303880923731006
Venezuela (Bolivarian Republic of),1.5297938597475538
Guinea-Bissau,1.5147660092702304
Guatemala,1.5098918868446751
Niger,1.5051934052632399
Indonesia,1.498265035239121
Portugal,1.495646882327321
Philippines,1.4941839345403565
Honduras,1.4848215833375362
Colombia,1.4785221386628988
Mauritania,1.4743468497178835
Thailand,1.4676937305327569
Burundi,1.452085788077084
Afghanistan,1.451582576231339
Brunei Darussalam,1.4506313663183854
Ghana,1.4430395172866117
Ukraine,1.4280394689098062
Mongolia,1.4142135623730951
Bolivia (Plurinational State of),1.4133815966737204
Mozambique,1.3780338689548515
Libya,1.3611654833070965
Chile,1.360071409405818
Central African Republic,1.355101520131297
Somalia,1.343618376938408
United States of America,1.327272015271369
Democratic People's Republic of Korea,1.3023548625243757
Japan,1.2968722873334113
Turkey,1.2943051805259997
Papua New Guinea,1.2930779288718346
Syrian Arab Republic,1.2924765308500192
France,1.286305238773747
United Republic of Tanzania,1.2809218217493823
Belize,1.278837449212287
Sweden,1.277631578141728
Sao Tome and Principe,1.2692283770071269
Botswana,1.2571158517218226
Jordan,1.2569249850481712
Saudi Arabia,1.2545463520020859
Tajikistan,1.2525891552447415
Zambia,1.2411753248365616
El Salvador,1.24037150793799
Bangladesh,1.2246371425349458
Mali,1.170702385414131
Chad,1.15194077875044
Burkina Faso,1.1283485123130959
Malaysia,1.1239110837538049
Guyana,1.1234406803898418
Argentina,1.1077452629937363
Sudan,1.0744500700218471
Tuvalu,1.059604788524319
Bhutan,1.0560287681968041
Singapore,1.039722040331487
Nicaragua,1.022870804710137
Democratic Republic of the Congo,1.0224434595187004
Algeria,1.014351841451367
Haiti,0.9985668665677344
Panama,0.9796742163680882
United Kingdom of Great Britain and Northern Ireland,0.9594094076131615
Romania,0.9234611974845989
Oman,0.9162456945817024
Cuba,0.884560268846906
Netherlands,0.7467099554551
Costa Rica,0.6929984946450077
Canada,0.686934703370052
Germany,0.6714334738520898
New Zealand,0.6614378277661477
Kiribati,0.6383984598608141
South Sudan,0.5513952531800069
Denmark,0.5006882315714639
Austria,0.5
Czechia,0.47140452079103173
Qatar,0.4330127018922193
Switzerland,0.3590351654086268
Finland,0.34992710611188255
The former state union Serbia and Montenegro,0.34815531191139565
Norway,0.3142696805273545
Belgium,0.3
United Arab Emirates,0.282842712474619
Paraguay,0.25
Nauru,0.1928473039599675
Bahamas,0.0
Greece,0.0
Poland,0.0
Belarus,0.0
Albania,
Armenia,
Azerbaijan,
Estonia,
Georgia,
Hungary,
Ireland,
Kyrgyzstan,
Lesotho,
Maldives,
Marshall Islands,
Mauritius,
Samoa,
Slovenia,
Suriname,
Tonga,
Uzbekistan,
