Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,COV,SUM
China,259071.0,252740.0,175001.0,182833.0,187500.0,327759.0,479518.0,454385.0,298932.0,299329.0,310826.0,252701.0,273242.0,291135.0,226619.0,,,,,,,0.3081493428972462,4271591.308149343
Japan,23684.0,77884.0,159031.0,81046.0,46340.0,40999.0,71549.0,137060.0,179635.0,104568.0,65361.0,,200614.0,,84672.0,84672.0,254711.0,132877.0,132659.0,,,0.5595273140965306,1877362.559527314
Poland,1585.0,1670.0,1978.0,,,2436.0,2779.0,,2754.0,2954.0,,4147.0,15115.0,71945.0,135179.0,87336.0,39978.0,16724.0,17548.0,90214.0,,1.3581728416385723,494343.35817284166
Romania,119.0,315.0,644.0,446.0,107.0,98.0,163.0,195.0,286.0,941.0,2302.0,5291.0,14519.0,59893.0,64427.0,48210.0,38827.0,41205.0,26542.0,51385.0,,1.322542617149804,355916.32254261716
Nepal,29614.0,61228.0,30610.0,38858.0,34034.0,29134.0,35874.0,39023.0,29022.0,27880.0,,,,,,,,,,,,0.27943200588679146,355277.2794320059
Iraq,17334.0,36367.0,73939.0,12957.0,1295.0,1809.0,1482.0,1944.0,1862.0,2265.0,1876.0,1612.0,1865.0,3243.0,15256.0,,,2780.0,18720.0,25554.0,,1.4965015457410562,222161.49650154574
Russian Federation (the),2027.0,4443.0,1106.0,190.0,267.0,282.0,394.0,406.0,510.0,925.0,1535.0,1855.0,2361.0,3027.0,4366.0,9191.0,11490.0,20289.0,40976.0,70656.0,,1.9840975050997498,176297.9840975051
Thailand,2061.0,17.0,23.0,3121.0,3704.0,5907.0,7431.0,10077.0,15885.0,20383.0,13861.0,9299.0,7838.0,8791.0,10767.0,11069.0,10853.0,9039.0,6527.0,8104.0,,0.6186342533943019,164757.6186342534
Ukraine,392.0,336.0,439.0,461.0,,,799.0,955.0,951.0,,1985.0,2921.0,3726.0,3776.0,5115.0,13156.0,20934.0,23476.0,26538.0,32854.0,,1.3283824541503868,138815.32838245414
Argentina,7715.0,4396.0,74.0,156.0,87.0,3772.0,4619.0,5481.0,5083.0,5913.0,12198.0,11575.0,11461.0,10727.0,11483.0,,,17970.0,,24028.0,,0.8025778065965713,136738.8025778066
Colombia,19105.0,17835.0,10452.0,6573.0,7368.0,7884.0,9377.0,15926.0,10376.0,9457.0,5930.0,2294.0,2243.0,2366.0,1545.0,1505.0,1401.0,1401.0,,,,0.7813785129670607,133038.78137851297
Mexico,,,3646.0,3399.0,4143.0,0.0,5683.0,2685.0,5780.0,0.0,7475.0,7880.0,8322.0,8651.0,8425.0,10825.0,,19696.0,27403.0,,,0.9079149732528439,124013.90791497326
Kenya,,,80960.0,,,,0.0,0.0,,,,,,,,0.0,8831.0,,30468.0,,,1.6012924563064914,120260.60129245631
United Kingdom of Great Britain and Northern Ireland (the),1398.0,2360.0,974.0,1008.0,2958.0,4718.0,3178.0,2716.0,4527.0,8670.0,2625.0,2569.0,5691.0,63525.0,10055.0,,544.0,814.0,1089.0,,,2.176901751738459,119421.17690175174
Zambia,,0.0,0.0,,,,,,,0.0,13728.0,6082.0,6548.0,15874.0,17472.0,6654.0,6882.0,12989.0,6213.0,7396.0,,0.7634229662716644,99838.76342296627
Spain,9129.0,10082.0,4999.0,,,13951.0,9539.0,4416.0,2516.0,2036.0,3816.0,10337.0,6797.0,2349.0,,1623.0,4495.0,,9391.0,4200.0,,0.5954708212300365,99676.59547082122
Italy,47.0,508.0,,,,,322.0,726.0,530.0,769.0,896.0,877.0,1208.0,1536.0,2058.0,2942.0,5077.0,,37669.0,40428.0,,2.09266857892879,95595.09266857893
Republic of Korea (the),19237.0,1121.0,,,,17022.0,7147.0,6241.0,6104.0,6524.0,4474.0,4569.0,2090.0,1860.0,1744.0,1518.0,281.0,1668.0,3057.0,,,1.0343390732937492,84658.03433907329
Turkey,464.0,419.0,544.0,322.0,457.0,597.0,834.0,1609.0,1525.0,2180.0,9514.0,16524.0,19726.0,19754.0,,,,,,,,1.436010061251846,74470.43601006125
Burkina Faso,26982.0,18865.0,0.0,17679.0,0.0,8090.0,,0.0,,,,,,,,,,,,,,1.0775594265632331,71617.07755942656
Belarus,1.0,4.0,4.0,3.0,4.0,8.0,61.0,48.0,88.0,172.0,245.0,318.0,446.0,502.0,759.0,2189.0,7044.0,10758.0,19069.0,23104.0,,2.0740084610378124,64829.07400846104
Ghana,22069.0,20270.0,16320.0,0.0,0.0,0.0,,,3780.0,,,,1514.0,,,,,,,,,1.2234437301077792,63954.22344373011
Venezuela (Bolivarian Republic of),,81.0,50.0,156.0,69.0,15.0,0.0,2740.0,3353.0,7509.0,1007.0,19118.0,2935.0,3095.0,2842.0,3158.0,3601.0,1788.0,5851.0,6578.0,,1.3220924053905707,63947.32209240539
Syrian Arab Republic (the),534.0,360.0,85.0,,,45.0,52.0,95.0,145.0,144.0,561.0,414.0,330.0,441.0,3676.0,6198.0,10724.0,18651.0,7780.0,10836.0,,1.5772099647266564,61072.57720996473
France,,,,,,,,,,,,7998.0,7500.0,,13749.0,13000.0,,,17400.0,,,0.34931646209555167,59647.349316462096
Jordan,6.0,0.0,168.0,115.0,0.0,135.0,194.0,175.0,162.0,150.0,193.0,202.0,636.0,5375.0,5771.0,2609.0,4397.0,7482.0,16122.0,11612.0,,1.6235008996210885,55505.62350089962
Uzbekistan,0.0,301.0,268.0,0.0,2336.0,3256.0,2300.0,1160.0,1418.0,1454.0,1862.0,4151.0,1754.0,1784.0,2304.0,5414.0,9677.0,5775.0,3949.0,5439.0,,0.8879660018505275,54602.88796600185
Egypt,4545.0,5891.0,803.0,5143.0,7626.0,20390.0,,531.0,26.0,33.0,50.0,108.0,251.0,251.0,,639.0,,849.0,1390.0,,,1.729435801970738,48527.72943580197
Chile,14865.0,6069.0,1265.0,1346.0,863.0,821.0,876.0,950.0,891.0,825.0,1243.0,1387.0,1497.0,1587.0,1491.0,1826.0,,2262.0,2352.0,2253.0,,1.382916098669361,44670.38291609867
Republic of Moldova (the),127.0,78.0,109.0,70.0,51.0,60.0,131.0,143.0,144.0,292.0,29783.0,1757.0,296.0,368.0,424.0,,1579.0,2556.0,1942.0,3198.0,,2.967458925500116,43110.9674589255
