Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,COV
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.284813398743696
Saint Lucia,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,471.0,19.0,5.756745770170537
Marshall Islands (the),,,,,,,0.0,0.0,0.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,449.0,0.0,0.0,0.0,0.0,5.320069510444029
Tonga,0.0,0.0,0.0,,,0.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,4.0,50.0,526.0,0.0,2.0,5.183123068909964
Nauru,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,166.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,4.833132600192059
Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.50306108633754
Namibia,5.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,15.0,0.0,,8.0,7.0,22.0,10.0,45.0,30.0,17.0,163.0,221.0,82.0,,,,4853.0,,,,,,,,,,,,,4.3040271564817445
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,39.0,0.0,0.0,4.178598704169967
Cook Islands,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.174727889771051
Tuvalu,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.825155609624673
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,7.0,0.0,1.0,3.5145598111279197
Maldives,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,3.429675693928421
Jamaica,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,5.0,2.0,7.0,23.0,12.0,1.0,4.0,22.0,7.0,5.0,0.0,0.0,16.0,3.0,0.0,7.0,20.0,16.0,5.0,27.0,65.0,354.0,18.0,13.0,3.4255711704412195
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,23.0,99.0,61.0,3.3546109157436304
Congo (the),0.0,0.0,0.0,,21.0,137.0,12.0,0.0,0.0,0.0,0.0,55.0,108.0,,,0.0,38.0,31.0,0.0,17.0,,8.0,48.0,144.0,,,,93.0,52.0,47.0,61.0,47.0,667.0,772.0,1981.0,1181.0,1212.0,1857.0,11198.0,3.2941293135976077
Tunisia,143.0,14.0,7.0,4.0,145.0,88.0,0.0,0.0,4.0,8.0,12.0,6.0,8.0,6.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,3.0,5.0,3.0,30.0,53.0,8.0,68.0,10.0,115.0,123.0,280.0,482.0,,,748.0,2103.0,4106.0,3.273034167266152
Sao Tome and Principe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,135.0,,,1.0,36.0,96.0,18.0,468.0,7.0,53.0,32.0,0.0,3.241871681621107
Vanuatu,22.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,6.0,,36.0,6.0,,51.0,6.0,0.0,0.0,161.0,161.0,0.0,3.0,39.0,66.0,37.0,138.0,1881.0,238.0,29.0,45.0,27.0,231.0,3.209972093140253
Mauritius,,0.0,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.058900451179112
Saudi Arabia,160.0,40.0,7.0,11.0,1.0,0.0,6.0,13.0,0.0,1.0,30.0,68.0,34.0,21.0,64.0,120.0,42.0,35.0,,11.0,85.0,80.0,56.0,33.0,14.0,45.0,94.0,41.0,112.0,117.0,315.0,246.0,248.0,1395.0,1730.0,1202.0,1630.0,3897.0,9815.0,3.0224886482267843
El Salvador,11.0,17.0,13.0,0.0,0.0,7.0,37.0,7.0,2.0,2.0,5.0,2.0,5.0,5.0,1.0,8.0,6.0,6.0,3.0,3.0,4.0,2.0,3.0,4.0,12.0,24.0,33.0,0.0,0.0,0.0,46.0,162.0,561.0,464.0,505.0,497.0,1754.0,3911.0,1003.0,3.0067003111481423
Iraq,978.0,1458.0,1014.0,529.0,1606.0,2471.0,2314.0,2019.0,2034.0,5471.0,2311.0,3140.0,3128.0,1050.0,78249.0,,,2922.0,407.0,466.0,1366.0,578.0,1247.0,483.0,534.0,767.0,1601.0,2309.0,122.0,368.0,200.0,316.0,798.0,2768.0,8518.0,4001.0,2584.0,3477.0,16687.0,3.005095565956435
Comoros (the),,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,,,,,0.0,0.0,,,,,,,,,,,2.9508456631203255
Liberia,,191.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,379.0,131.0,281.0,394.0,1114.0,,104.0,,,432.0,,,,7.0,4561.0,5.0,15.0,32.0,8.0,15.0,48.0,389.0,62.0,2.924067851586249
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,12.0,12.0,0.0,2.8698365743568144
Micronesia (Federated States of),0.0,0.0,0.0,0.0,0.0,,,,,0.0,,47.0,0.0,0.0,0.0,,,0.0,9.0,49.0,15.0,0.0,,0.0,0.0,17.0,0.0,0.0,0.0,0.0,,180.0,,,,,,,,2.8575679650958534
Gambia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,,,,,,,,,,,,56.0,,,,118.0,157.0,2.8396436409343293
Samoa,326.0,0.0,,,,,0.0,0.0,22.0,0.0,53.0,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,99.0,113.0,2.8292965973838307
Bahrain,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,1.0,7.0,15.0,33.0,22.0,76.0,106.0,2.795187906102496
Jordan,4.0,7.0,8.0,0.0,5.0,3.0,4.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,5.0,1.0,3.0,4.0,6.0,4.0,2.0,10.0,16.0,2.0,4.0,12.0,38.0,13.0,36.0,35.0,101.0,85.0,106.0,55.0,437.0,2.789806756968252
Nicaragua,53.0,74.0,90.0,36.0,0.0,0.0,68.0,87.0,24.0,11.0,25.0,51.0,148.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,6.0,84.0,14.0,8.0,5.0,47.0,333.0,0.0,0.0,0.0,63.0,257.0,458.0,150.0,60.0,68.0,394.0,1935.0,2469.0,2.757876177279365
Bahamas (the),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,8.0,15.0,2.7316017785256084
Solomon Islands,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,191.0,0.0,0.0,0.0,61.0,,,32.0,0.0,10.0,2.0,51.0,196.0,616.0,72.0,27.0,766.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.7267493316102174
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6362095839813775
Sudan (the),,12.0,,,141.0,119.0,109.0,132.0,209.0,6.0,34.0,57.0,39.0,90.0,192.0,232.0,213.0,645.0,80.0,51.0,169.0,418.0,133.0,1496.0,127.0,264.0,271.0,312.0,566.0,521.0,327.0,1115.0,20010.0,10314.0,1365.0,862.0,43905.0,41811.0,28631.0,2.6276740651815915
Suriname,,,0.0,0.0,13.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.6044455551878585
Belize,2.0,1.0,4.0,0.0,3.0,6.0,44.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,8.0,36.0,3.0,1.0,0.0,59.0,11.0,2.565679745680439
Zambia,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,681.0,162.0,34.0,120.0,185.0,180.0,391.0,595.0,953.0,0.0,1051.0,,0.0,,,,,,,200.0,146.0,139.0,172.0,1134.0,1303.0,3896.0,8105.0,29958.0,23191.0,21232.0,2.5240479474471003
Cabo Verde,0.0,,,0.0,0.0,18.0,0.0,1.0,0.0,6.0,0.0,0.0,,0.0,,7.0,0.0,0.0,0.0,,47.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,248.0,,7.0,4.0,7.0,182.0,159.0,290.0,2.507545577434357
Timor-Leste,0.0,1.0,6.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.4971455290376703
Cuba,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,23.0,70.0,70.0,32.0,103.0,342.0,195.0,86.0,275.0,915.0,379.0,131.0,2.4925979442406505
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,34.0,49.0,48.0,36.0,287.0,186.0,565.0,632.0,554.0,416.0,2020.0,2.4336289578126786
Morocco,73.0,,,,,72.0,172.0,35.0,15.0,73.0,74.0,28.0,27.0,,47.0,32.0,27.0,74.0,22.0,20.0,58.0,46.0,50.0,37.0,132.0,73.0,43.0,133.0,83.0,62.0,113.0,1078.0,1163.0,1762.0,5101.0,8142.0,12330.0,7359.0,14873.0,2.366853344181207
Eswatini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,4.0,31.0,38.0,34.0,72.0,20.0,27.0,97.0,294.0,756.0,673.0,533.0,1294.0,808.0,,,2.3545340643216672
Mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,5.0,28.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,3.0,19.0,3.0,1.0,22.0,2.311647626844041
Djibouti,,,,,,,,,0.0,0.0,0.0,3.0,,,0.0,10.0,2.0,34.0,48.0,,,,0.0,0.0,,0.0,1.0,0.0,25.0,27.0,15.0,5.0,,85.0,385.0,32.0,23.0,214.0,,2.286757479050989
Rwanda,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,23.0,0.0,561.0,,,0.0,,,,,110.0,177.0,94.0,268.0,1001.0,1802.0,1573.0,2053.0,5421.0,11857.0,16486.0,16189.0,2.284199645763707
Cambodia,22.0,20.0,9.0,10.0,3.0,0.0,54.0,,372.0,513.0,1212.0,561.0,474.0,462.0,66.0,315.0,320.0,4714.0,2068.0,618.0,438.0,1665.0,,,63.0,611.0,995.0,821.0,1690.0,4220.0,3902.0,5672.0,11568.0,25023.0,27424.0,23699.0,74127.0,55227.0,86334.0,2.2627471617532
Bolivia (Plurinational State of),21.0,7.0,27.0,11.0,75.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,46.0,132.0,55.0,10.0,16.0,44.0,138.0,14.0,36.0,45.0,245.0,284.0,56.0,159.0,705.0,685.0,520.0,439.0,964.0,1393.0,1445.0,1387.0,5028.0,2377.0,2.2331257828590583
Costa Rica,36.0,58.0,23.0,20.0,31.0,58.0,130.0,79.0,71.0,664.0,2024.0,2024.0,1037.0,7.0,13.0,27.0,32.0,51.0,23.0,11.0,29.0,33.0,20.0,21.0,20.0,28.0,29.0,19.0,75.0,85.0,95.0,52.0,153.0,133.0,172.0,74.0,63.0,168.0,960.0,2.214188428040169
Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,,11.0,15.0,7.0,,4.0,8.0,4.0,1.0,,0.0,3.0,2.0,0.0,1.0,2.0,2.0,3.0,18.0,25.0,50.0,140.0,134.0,129.0,201.0,547.0,20.0,193.0,219.0,2.2138511881826375
Senegal,9.0,0.0,,0.0,1.0,,,,,0.0,45.0,50.0,7.0,,21.0,,0.0,,0.0,30.0,,0.0,,,509.0,1518.0,541.0,375.0,1041.0,1523.0,258.0,,,,,16033.0,22590.0,18182.0,22792.0,2.1770524227311268
China,22057.0,10390.0,5584.0,6658.0,3408.0,1712.0,2183.0,2517.0,1764.0,1612.0,2387.0,,2595.0,3844.0,4705.0,858.0,6293.0,6407.0,5561.0,5974.0,7134.0,8678.0,,5482.0,7199.0,9190.0,11182.0,10679.0,20015.0,26985.0,32937.0,59543.0,83979.0,147298.0,215965.0,331419.0,422280.0,510601.0,613648.0,2.1681324091472414
Iceland,15.0,19.0,14.0,4.0,1.0,31.0,36.0,0.0,0.0,0.0,2.0,4.0,3.0,6.0,1.0,3.0,,3.0,8.0,,,47.0,100.0,27.0,41.0,4.0,4.0,137.0,3.0,19.0,53.0,162.0,35.0,16.0,59.0,535.0,258.0,26.0,41.0,2.110927583760277
Monaco,2.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0948057391540833
Myanmar,28.0,4.0,2.0,5.0,5.0,14.0,2.0,5.0,0.0,3.0,5.0,13.0,13.0,11.0,100.0,19.0,61.0,,55.0,34.0,46.0,120.0,331.0,871.0,551.0,1592.0,1486.0,2455.0,7882.0,3819.0,2547.0,5757.0,9783.0,10238.0,11747.0,22215.0,41765.0,31424.0,26878.0,2.077185447543193
San Marino,0.0,0.0,13.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,3.0,,0.0,,,,,,,,,5.0,3.0,7.0,2.068192938041881
