Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,COV,SUM
Russian Federation (the),5.0,5.0,38.0,25.0,72.0,233.0,1003.0,349.0,547.0,1602.0,9618.0,30846.0,133289.0,144985.0,146220.0,125187.0,341345.0,574901.0,457378.0,585063.0,,1.5561939278908665,2552712.556193928
China,3930.0,1605.0,4535.0,8133.0,11793.0,17580.0,40156.0,65549.0,43117.0,69860.0,120354.0,74746.0,37137.0,25446.0,24015.0,,,,,,,0.9213654016679369,547956.9213654017
Ukraine,235.0,160.0,150.0,248.0,,,1952.0,3667.0,2333.0,,3495.0,5822.0,15106.0,22248.0,31606.0,20201.0,162927.0,79373.0,37931.0,105137.0,,1.573576093447006,492592.5735760934
Poland,437.0,476.0,1105.0,,,38546.0,6263.0,,4196.0,7586.0,,22890.0,20668.0,7946.0,4857.0,10588.0,40518.0,84419.0,46181.0,30958.0,,1.1208751234462462,327635.1208751234
Romania,9.0,9.0,13.0,8.0,30.0,145.0,20812.0,3494.0,350.0,343.0,1746.0,2958.0,3563.0,6801.0,47444.0,120377.0,11079.0,5076.0,5125.0,7076.0,,2.351623396646119,236460.35162339665
Kazakhstan,1.0,0.0,4.0,2.0,152.0,36.0,13.0,44.0,3.0,622.0,3350.0,2692.0,2461.0,8783.0,15103.0,18139.0,30541.0,29271.0,14989.0,7645.0,,1.4688417869784525,133852.468841787
Mexico,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,46.0,102.0,74.0,38.0,699.0,35.0,3685.0,4843.0,11751.0,17180.0,51846.0,2.7370272158563314,90305.73702721586
Belarus,0.0,1.0,0.0,1.0,1.0,1.0,10.0,20.0,0.0,3.0,2.0,7.0,2360.0,3812.0,4492.0,1625.0,5173.0,6857.0,16034.0,44443.0,,2.411938391410869,84844.41193839141
Bangladesh,308.0,299.0,165.0,189.0,381.0,3034.0,3245.0,5631.0,12963.0,13076.0,5526.0,13226.0,3418.0,9229.0,327.0,,,,,,,1.0666790045108157,71018.0666790045
Venezuela (Bolivarian Republic of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,188.0,823.0,96.0,36.0,3662.0,9014.0,13927.0,11391.0,30353.0,2.249400252889919,69554.24940025288
