Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,COV,SUM
India,7000.0,4946.0,3781.0,2268.0,5017.0,2814.0,2404.0,2843.0,1756.0,2126.0,2959.0,7491.0,2815.0,2981.0,3883.0,4020.0,12197.0,5764.0,8997.0,2125.0,6705.0,7323.0,,,32551.0,15354.0,11268.0,15036.0,23356.0,24774.0,24343.0,31926.0,32453.0,37647.0,31366.0,34442.0,41726.0,41161.0,45948.0,0.9583506362376837,545566.9583506363
Egypt,,,,,8.0,9.0,,264.0,,11.0,189.0,34.0,60.0,,,523.0,673.0,732.0,597.0,996.0,1198.0,1425.0,1390.0,1097.0,1636.0,2253.0,2827.0,4228.0,4952.0,7194.0,8624.0,9287.0,9995.0,9286.0,8559.0,10381.0,8393.0,7128.0,6644.0,1.0461167424759577,110594.04611674248
Indonesia,,506.0,522.0,,1032.0,225.0,106.0,210.0,147.0,231.0,183.0,141.0,318.0,1907.0,715.0,1759.0,171.0,,466.0,1782.0,,1886.0,,,,4999.0,5915.0,5739.0,7784.0,6760.0,5325.0,167.0,2800.0,4249.0,4192.0,3277.0,6583.0,7217.0,7231.0,1.013514097364657,84546.01351409737
Pakistan,0.0,478.0,,667.0,,898.0,320.0,516.0,559.0,816.0,984.0,743.0,610.0,697.0,649.0,890.0,1016.0,1184.0,1465.0,1610.0,1957.0,2119.0,2125.0,1687.0,1940.0,1858.0,1875.0,1544.0,4080.0,1494.0,2164.0,3190.0,6137.0,8143.0,5599.0,4880.0,3856.0,2846.0,2738.0,0.8949784198095946,74334.8949784198
Bangladesh,226.0,352.0,441.0,559.0,,508.0,614.0,644.0,710.0,791.0,943.0,1034.0,1235.0,1388.0,1897.0,715.0,1036.0,1221.0,1155.0,1814.0,1991.0,3129.0,,3114.0,3304.0,3130.0,3780.0,2666.0,2511.0,7993.0,2067.0,201.0,899.0,363.0,2012.0,6996.0,2251.0,373.0,2855.0,0.9483172027921851,66918.9483172028
Philippines (the),943.0,1057.0,1082.0,880.0,839.0,1069.0,,1537.0,1140.0,1022.0,813.0,1261.0,1232.0,922.0,1293.0,1151.0,1165.0,1479.0,1135.0,1439.0,648.0,1627.0,,1443.0,1998.0,2116.0,710.0,1237.0,2286.0,3102.0,3199.0,2910.0,3381.0,3474.0,3353.0,2912.0,2441.0,2242.0,3080.0,0.5178007552401798,63618.51780075524
Nigeria,131.0,187.0,34.0,53.0,208.0,556.0,112.0,114.0,199.0,,721.0,163.0,1667.0,,,,3483.0,3587.0,1643.0,,,,2945.0,,1083.0,3976.0,3440.0,3392.0,2703.0,2015.0,3883.0,3760.0,2269.0,2679.0,2924.0,2577.0,3479.0,3035.0,3095.0,0.7468073241520087,60113.746807324154
Brazil,,225.0,224.0,273.0,273.0,213.0,314.0,333.0,308.0,278.0,333.0,281.0,431.0,420.0,463.0,513.0,268.0,129.0,346.0,629.0,750.0,74.0,815.0,913.0,1049.0,1282.0,1321.0,1441.0,1547.0,1720.0,1852.0,1852.0,2569.0,2623.0,2800.0,2858.0,2810.0,2940.0,3098.0,0.917110483345858,40568.917110483344
Sudan (the),,,,,139.0,88.0,137.0,174.0,273.0,155.0,173.0,187.0,115.0,94.0,,,121.0,,,66.0,,186.0,169.0,161.0,176.0,188.0,292.0,202.0,411.0,402.0,571.0,512.0,3571.0,7130.0,216.0,258.0,5429.0,5168.0,4451.0,1.8606664441439134,31216.860666444143
Myanmar,,61.0,194.0,,73.0,73.0,75.0,178.0,96.0,229.0,147.0,259.0,224.0,186.0,167.0,260.0,257.0,,312.0,,,,,,269.0,507.0,740.0,,769.0,1375.0,1180.0,1279.0,1466.0,1759.0,2343.0,3225.0,3054.0,2711.0,2423.0,1.144768352319616,25892.144768352322
