,Country,Year,tuberculosis_incidence
0,Afghanistan,2018,70000
1,Afghanistan,2017,69000
2,Afghanistan,2016,67000
3,Afghanistan,2015,65000
4,Afghanistan,2014,63000
5,Afghanistan,2013,61000
6,Afghanistan,2012,59000
7,Afghanistan,2011,57000
8,Afghanistan,2010,55000
9,Afghanistan,2009,54000
10,Afghanistan,2008,52000
11,Afghanistan,2007,51000
12,Afghanistan,2006,50000
13,Afghanistan,2005,48000
14,Afghanistan,2004,47000
15,Afghanistan,2003,45000
16,Afghanistan,2002,43000
17,Afghanistan,2001,41000
18,Afghanistan,2000,39000
19,Albania,2018,510
20,Albania,2017,580
21,Albania,2016,480
22,Albania,2015,480
23,Albania,2014,470
24,Albania,2013,550
25,Albania,2012,470
26,Albania,2011,490
27,Albania,2010,500
28,Albania,2009,510
29,Albania,2008,490
30,Albania,2007,500
31,Albania,2006,540
32,Albania,2005,580
33,Albania,2004,630
34,Albania,2003,640
35,Albania,2002,680
36,Albania,2001,640
37,Albania,2000,690
38,Algeria,2018,29000
39,Algeria,2017,29000
40,Algeria,2016,29000
41,Algeria,2015,30000
42,Algeria,2014,28000
43,Algeria,2013,26000
44,Algeria,2012,27000
45,Algeria,2011,27000
46,Algeria,2010,28000
47,Algeria,2009,27000
48,Algeria,2008,26000
49,Algeria,2007,27000
50,Algeria,2006,26000
51,Algeria,2005,27000
52,Algeria,2004,25000
53,Algeria,2003,25000
54,Algeria,2002,24000
55,Algeria,2001,23000
56,Algeria,2000,23000
57,Andorra,2018,2
58,Andorra,2017,1
59,Andorra,2016,5
60,Andorra,2015,5
61,Andorra,2014,7
62,Andorra,2013,6
63,Andorra,2012,10
64,Andorra,2011,3
65,Andorra,2010,8
66,Andorra,2009,9
67,Andorra,2008,5
68,Andorra,2007,6
69,Andorra,2006,14
70,Andorra,2005,12
71,Andorra,2004,8
72,Andorra,2003,13
73,Andorra,2002,6
74,Andorra,2001,12
75,Andorra,2000,14
76,Angola,2018,109000
77,Angola,2017,107000
78,Angola,2016,105000
79,Angola,2015,102000
80,Angola,2014,100000
81,Angola,2013,98000
82,Angola,2012,95000
83,Angola,2011,93000
84,Angola,2010,90000
85,Angola,2009,87000
86,Angola,2008,83000
87,Angola,2007,79000
88,Angola,2006,76000
89,Angola,2005,72000
90,Angola,2004,66000
91,Angola,2003,61000
92,Angola,2002,56000
93,Angola,2001,52000
94,Angola,2000,49000
95,Antigua,2018,6
96,Antigua,2017,1
97,Antigua,2016,3
98,Antigua,2015,5
99,Antigua,2014,3
100,Antigua,2013,12
101,Antigua,2012,3
102,Antigua,2011,7
103,Antigua,2010,8
104,Antigua,2009,3
105,Antigua,2008,1
106,Antigua,2007,2
107,Antigua,2006,5
108,Antigua,2005,7
109,Antigua,2004,5
110,Antigua,2003,1
111,Antigua,2002,5
112,Antigua,2001,1
113,Antigua,2000,5
114,Argentina,2018,12000
115,Argentina,2017,12000
116,Argentina,2016,12000
117,Argentina,2015,11000
118,Argentina,2014,11000
119,Argentina,2013,10000
120,Argentina,2012,10000
121,Argentina,2011,11000
122,Argentina,2010,8400
123,Argentina,2009,8900
124,Argentina,2008,11000
125,Argentina,2007,12000
126,Argentina,2006,11000
127,Argentina,2005,12000
128,Argentina,2004,13000
129,Argentina,2003,12000
130,Argentina,2002,13000
131,Argentina,2001,13000
132,Argentina,2000,14000
133,Armenia,2018,920
134,Armenia,2017,1100
135,Armenia,2016,1300
136,Armenia,2015,1500
137,Armenia,2014,1700
138,Armenia,2013,1700
139,Armenia,2012,1500
140,Armenia,2011,1600
141,Armenia,2010,1800
142,Armenia,2009,2000
143,Armenia,2008,2100
144,Armenia,2007,2100
145,Armenia,2006,2200
146,Armenia,2005,2800
147,Armenia,2004,2100
148,Armenia,2003,1900
149,Armenia,2002,1800
150,Armenia,2001,1700
151,Armenia,2000,1700
152,Australia,2018,1700
153,Australia,2017,1600
154,Australia,2016,1600
155,Australia,2015,1400
156,Australia,2014,1500
157,Australia,2013,1400
158,Australia,2012,1500
159,Australia,2011,1400
160,Australia,2010,1400
161,Australia,2009,1500
162,Australia,2008,1400
163,Australia,2007,1300
164,Australia,2006,1300
165,Australia,2005,1200
166,Australia,2004,1200
167,Australia,2003,1100
168,Australia,2002,1200
169,Australia,2001,1100
170,Australia,2000,1200
171,Austria,2018,630
172,Austria,2017,650
173,Austria,2016,710
174,Austria,2015,650
175,Austria,2014,650
176,Austria,2013,720
177,Austria,2012,710
178,Austria,2011,770
179,Austria,2010,760
180,Austria,2009,760
181,Austria,2008,870
182,Austria,2007,930
183,Austria,2006,980
184,Austria,2005,1100
185,Austria,2004,1000
186,Austria,2003,1100
187,Austria,2002,1200
188,Austria,2001,1200
189,Austria,2000,1400
190,Azerbaijan,2018,6300
191,Azerbaijan,2017,6500
192,Azerbaijan,2016,6400
193,Azerbaijan,2015,6800
194,Azerbaijan,2014,7200
195,Azerbaijan,2013,7300
196,Azerbaijan,2012,8000
197,Azerbaijan,2011,11000
198,Azerbaijan,2010,9400
199,Azerbaijan,2009,12000
200,Azerbaijan,2008,9500
201,Azerbaijan,2007,6900
202,Azerbaijan,2006,7100
203,Azerbaijan,2005,7500
204,Azerbaijan,2004,6800
205,Azerbaijan,2003,4800
206,Azerbaijan,2002,6400
207,Azerbaijan,2001,6100
208,Azerbaijan,2000,6500
209,Bahamas,2018,54
210,Bahamas,2017,59
211,Bahamas,2016,100
212,Bahamas,2015,71
213,Bahamas,2014,58
214,Bahamas,2013,38
215,Bahamas,2012,37
216,Bahamas,2011,47
217,Bahamas,2010,36
218,Bahamas,2009,52
219,Bahamas,2008,56
220,Bahamas,2007,53
221,Bahamas,2006,69
222,Bahamas,2005,55
223,Bahamas,2004,61
224,Bahamas,2003,44
225,Bahamas,2002,51
226,Bahamas,2001,72
227,Bahamas,2000,94
228,Bahrain,2018,180
229,Bahrain,2017,170
230,Bahrain,2016,180
231,Bahrain,2015,200
232,Bahrain,2014,220
233,Bahrain,2013,240
234,Bahrain,2012,260
235,Bahrain,2011,260
236,Bahrain,2010,280
237,Bahrain,2009,370
238,Bahrain,2008,350
239,Bahrain,2007,340
240,Bahrain,2006,320
241,Bahrain,2005,320
242,Bahrain,2004,280
243,Bahrain,2003,300
244,Bahrain,2002,220
245,Bahrain,2001,220
246,Bahrain,2000,240
247,Bangladesh,2018,357000
248,Bangladesh,2017,353000
249,Bangladesh,2016,349000
250,Bangladesh,2015,346000
251,Bangladesh,2014,342000
252,Bangladesh,2013,338000
253,Bangladesh,2012,334000
254,Bangladesh,2011,330000
255,Bangladesh,2010,326000
256,Bangladesh,2009,323000
257,Bangladesh,2008,319000
258,Bangladesh,2007,316000
259,Bangladesh,2006,312000
260,Bangladesh,2005,308000
261,Bangladesh,2004,303000
262,Bangladesh,2003,298000
263,Bangladesh,2002,293000
264,Bangladesh,2001,288000
265,Bangladesh,2000,282000
266,Barbados,2018,1
267,Barbados,2017,0
268,Barbados,2016,3
269,Barbados,2015,0
270,Barbados,2014,6
271,Barbados,2013,5
272,Barbados,2012,5
273,Barbados,2011,0
274,Barbados,2010,7
275,Barbados,2009,2
276,Barbados,2008,3
277,Barbados,2007,18
278,Barbados,2006,6
279,Barbados,2005,11
280,Barbados,2004,22
281,Barbados,2003,10
282,Barbados,2002,6
283,Barbados,2001,7
284,Barbados,2000,3
285,Belarus,2018,2900
286,Belarus,2017,3500
287,Belarus,2016,4000
288,Belarus,2015,4700
289,Belarus,2014,4800
290,Belarus,2013,5600
291,Belarus,2012,6000
292,Belarus,2011,5900
293,Belarus,2010,6400
294,Belarus,2009,6600
295,Belarus,2008,6400
296,Belarus,2007,6700
297,Belarus,2006,6400
298,Belarus,2005,6600
299,Belarus,2004,6800
300,Belarus,2003,7500
301,Belarus,2002,6400
302,Belarus,2001,6900
303,Belarus,2000,8500
304,Belgium,2018,1000
305,Belgium,2017,1100
306,Belgium,2016,1100
307,Belgium,2015,1100
308,Belgium,2014,1000
309,Belgium,2013,1000
310,Belgium,2012,1000
311,Belgium,2011,1100
312,Belgium,2010,1200
313,Belgium,2009,1100
314,Belgium,2008,1100
315,Belgium,2007,1100
316,Belgium,2006,1200
317,Belgium,2005,1200
318,Belgium,2004,1300
319,Belgium,2003,1200
320,Belgium,2002,1400
321,Belgium,2001,1500
322,Belgium,2000,1500
323,Belize,2018,110
324,Belize,2017,130
325,Belize,2016,140
326,Belize,2015,90
327,Belize,2014,83
328,Belize,2013,140
329,Belize,2012,97
330,Belize,2011,85
331,Belize,2010,170
332,Belize,2009,100
333,Belize,2008,100
334,Belize,2007,72
335,Belize,2006,98
336,Belize,2005,120
337,Belize,2004,95
338,Belize,2003,110
339,Belize,2002,160
340,Belize,2001,160
341,Belize,2000,120
342,Benin,2018,6500
343,Benin,2017,6400
344,Benin,2016,6400
345,Benin,2015,6400
346,Benin,2014,6300
347,Benin,2013,6400
348,Benin,2012,6400
349,Benin,2011,6400
350,Benin,2010,6300
351,Benin,2009,6200
352,Benin,2008,6000
353,Benin,2007,5800
354,Benin,2006,5900
355,Benin,2005,5800
356,Benin,2004,5800
357,Benin,2003,5800
358,Benin,2002,5900
359,Benin,2001,5900
360,Benin,2000,5900
