Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Afghanistan,53.0,,37.0,74.0,39.0,24.0,37.0,20.0,23.0,19.0,57.0,71.0,43.0,,81.0,121.0,975.0,,,221.0,383.0,,,,,,,3.0,131.0,51.0,951.0,168.0,698.0,2829.0,355.0,912.0,1481.0,1208.0,1618.0
Albania,0.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,,3.0,2.0,18.0,14.0,18.0,7.0,8.0,15.0,3.0,5.0,6.0,5.0,4.0,2.0,4.0,1.0,3.0,5.0
Algeria,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,11.0,9.0,18.0,13.0,,,20.0,,24.0,25.0,31.0,26.0,,21.0,57.0,44.0,42.0,38.0,63.0,50.0,415.0,129.0,343.0,74.0,79.0,100.0,164.0,86.0
Andorra,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,
Angola,340.0,,,305.0,330.0,360.0,543.0,953.0,490.0,675.0,601.0,790.0,1633.0,89.0,153.0,643.0,964.0,,,,279.0,,,,,783.0,,1324.0,1826.0,2701.0,1631.0,778.0,129.0,893.0,1320.0,1115.0,1398.0,1383.0,1185.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
Argentina,,8.0,8.0,10.0,8.0,11.0,10.0,1.0,5.0,15.0,8.0,6.0,5.0,14.0,25.0,25.0,18.0,11.0,12.0,18.0,22.0,24.0,41.0,43.0,43.0,32.0,41.0,56.0,49.0,88.0,81.0,76.0,71.0,76.0,171.0,141.0,168.0,204.0,219.0
Armenia,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,,,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,7.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
Australia,3.0,4.0,7.0,3.0,3.0,4.0,7.0,3.0,2.0,3.0,4.0,3.0,,2.0,5.0,3.0,2.0,3.0,7.0,3.0,7.0,7.0,,5.0,15.0,10.0,14.0,7.0,6.0,11.0,5.0,5.0,5.0,11.0,7.0,10.0,12.0,12.0,9.0
Austria,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
