"","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)"
"Country"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2005"," 2000"
"Afghanistan","23.01","23.00","14.22","11.26","8.75","11.76","19.86","15.92","28.91","92.64"
"Algeria","0","0","0","0","0.00","0.02","0.00","0.00","0.15","0.30"
"Angola","154.97","155.66","154.48","139.97","130.20","123.99","125.54","133.76","210.66","222.39"
"Argentina","0","0","0","0","0","0","0","0.07","1.29","2.37"
"Armenia","0","0","0","0","0","0","0","0","0.00","0.05"
"Azerbaijan","0","0","0","0","0","0.01","0.02","0.24","1.23","8.17"
"Bangladesh","1.86","1.78","2.59","3.15","1.48","2.11","6.18","6.96","5.55","5.55"
"Belize","0.03","0.02","0.04","0.08","0.08","0.14","0.32","0.68","7.92","8.71"
"Benin","367.91","368.57","358.15","329.32","321.80","339.98","371.63","403.66","446.67","368.65"
"Bhutan","0.02","0.03","0.06","0.03","0.03","0","0.42","0.98","3.76","13.99"
"Bolivia (Plurinational State of)","1.30","1.60","2.01","2.40","2.41","2.48","2.23","4.36","7.07","11.70"
"Botswana","1.97","0.77","0.35","1.44","0.51","0.22","0.50","2.30","2.05","22.82"
"Brazil","5.13","3.17","3.80","3.54","4.73","6.28","6.98","9.63","17.18","21.23"
"Burkina Faso","411.99","411.62","429.04","469.63","511.70","556.89","579.56","590.95","545.89","607.11"
"Burundi","194.50","195.10","191.91","170.65","160.34","161.09","171.05","183.52","269.71","418.61"
"Cabo Verde","2.98","0.34","0.05","0.19","0.16","0.01","0.05","0.36","0.55","1.27"
"Cambodia","18.40","11.44","20.49","22.88","16.31","25.51","36.66","35.71","27.67","100.54"
"Cameroon","303.80","306.16","316.34","327.47","321.41","292.57","266.18","268.46","456.23","376.93"
"Central African Republic","387.32","387.55","386.75","395.73","419.05","450.69","473.34","481.26","466.65","395.73"
"Chad","188.61","188.18","194.14","208.43","226.93","262.30","293.36","305.76","247.29","220.96"
"China","0","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.04","0.01"
"Colombia","7.40","10.69","6.79","5.37","6.87","8.08","8.15","16.12","17.33","23.36"
"Comoros","3.97","1.44","1.67","2.90","71.69","68.85","35.18","52.98","57.77","65.10"
"Congo","197.63","201.08","208.99","208.95","205.39","197.80","190.83","190.54","306.86","344.88"
"Costa Rica","0.01","0.00","0","0","0","0.00","0.01","0.07","2.38","1.37"
"Côte d'Ivoire","138.86","140.10","146.95","159.46","197.23","275.85","360.17","389.18","390.23","514.62"
"Democratic People's Republic of Korea","0.22","0.27","0.08","1.07","1.48","2.25","1.74","1.41","1.21","10.12"
"Democratic Republic of the Congo","307.62","310.59","317.07","312.41","315.33","323.03","337.79","367.18","515.61","463.53"
"Djibouti","31.90","29.30","20.43","20.70","3.76","0.06","0","2.37","1.05",""
"Dominican Republic","0.07","0.15","0.13","0.10","0.13","0.21","0.36","0.78","0.93","0.31"
"Ecuador","2.63","2.49","1.31","0.52","0.81","1.21","2.76","4.34","42.60","284.03"
"Egypt","0","0","0","0.00","0","0","0","0","0","0"
"El Salvador","0","0.01","0.00","0.00","0.00","0.01","0.01","0.02","0.05","0.63"
"Equatorial Guinea","343.26","349.86","356.28","366.02","458.18","471.92","484.15","401.26","518.23","397.64"
"Eritrea","22.87","17.47","13.24","23.11","10.60","11.51","17.14","19.01","6.97","13.65"
