,LOCATION,INDICATOR,TIME,Value
0,AUS,MEDICALDOC,1999,2.45
1,AUS,MEDICALDOC,2000,2.49
2,AUS,MEDICALDOC,2001,2.56
3,AUS,MEDICALDOC,2002,2.56
4,AUS,MEDICALDOC,2003,2.63
5,AUS,MEDICALDOC,2004,2.71
6,AUS,MEDICALDOC,2005,2.78
7,AUS,MEDICALDOC,2006,2.84
8,AUS,MEDICALDOC,2007,3.01
9,AUS,MEDICALDOC,2008,3.02
10,AUS,MEDICALDOC,2009,3.12
11,AUS,MEDICALDOC,2011,3.32
12,AUS,MEDICALDOC,2012,3.31
13,AUS,MEDICALDOC,2013,3.37
14,AUS,MEDICALDOC,2014,3.45
15,AUS,MEDICALDOC,2015,3.51
16,AUS,MEDICALDOC,2016,3.58
17,AUS,MEDICALDOC,2017,3.68
18,AUT,MEDICALDOC,1999,3.77
19,AUT,MEDICALDOC,2000,3.85
20,AUT,MEDICALDOC,2001,3.96
21,AUT,MEDICALDOC,2002,4.03
22,AUT,MEDICALDOC,2003,4.11
23,AUT,MEDICALDOC,2004,4.2
24,AUT,MEDICALDOC,2005,4.32
25,AUT,MEDICALDOC,2006,4.45
26,AUT,MEDICALDOC,2007,4.54
27,AUT,MEDICALDOC,2008,4.6
28,AUT,MEDICALDOC,2009,4.69
29,AUT,MEDICALDOC,2010,4.8
30,AUT,MEDICALDOC,2011,4.84
31,AUT,MEDICALDOC,2012,4.9
32,AUT,MEDICALDOC,2013,4.99
33,AUT,MEDICALDOC,2014,5.05
34,AUT,MEDICALDOC,2015,5.09
35,AUT,MEDICALDOC,2016,5.13
36,AUT,MEDICALDOC,2017,5.18
37,BEL,MEDICALDOC,1999,2.8
38,BEL,MEDICALDOC,2000,2.83
39,BEL,MEDICALDOC,2001,2.85
40,BEL,MEDICALDOC,2002,2.86
41,BEL,MEDICALDOC,2003,2.86
42,BEL,MEDICALDOC,2004,2.87
43,BEL,MEDICALDOC,2005,2.87
44,BEL,MEDICALDOC,2006,2.89
45,BEL,MEDICALDOC,2007,2.91
46,BEL,MEDICALDOC,2008,2.92
47,BEL,MEDICALDOC,2009,2.92
48,BEL,MEDICALDOC,2010,2.92
49,BEL,MEDICALDOC,2011,2.92
50,BEL,MEDICALDOC,2012,2.93
51,BEL,MEDICALDOC,2013,2.96
52,BEL,MEDICALDOC,2014,2.98
53,BEL,MEDICALDOC,2015,3.02
54,BEL,MEDICALDOC,2016,3.07
55,BEL,MEDICALDOC,2017,3.08
56,CAN,MEDICALDOC,1999,2.09
57,CAN,MEDICALDOC,2000,2.1
58,CAN,MEDICALDOC,2001,2.1
59,CAN,MEDICALDOC,2002,2.11
60,CAN,MEDICALDOC,2003,2.1
61,CAN,MEDICALDOC,2004,2.13
62,CAN,MEDICALDOC,2005,2.16
63,CAN,MEDICALDOC,2006,2.18
64,CAN,MEDICALDOC,2007,2.22
65,CAN,MEDICALDOC,2008,2.26
66,CAN,MEDICALDOC,2009,2.34
67,CAN,MEDICALDOC,2010,2.38
68,CAN,MEDICALDOC,2011,2.46
69,CAN,MEDICALDOC,2012,2.51
70,CAN,MEDICALDOC,2013,2.57
71,CAN,MEDICALDOC,2014,2.61
72,CAN,MEDICALDOC,2015,2.66
73,CAN,MEDICALDOC,2016,2.68
74,CAN,MEDICALDOC,2017,2.72
75,CAN,MEDICALDOC,2018,2.76
76,CZE,MEDICALDOC,1999,3.08
77,CZE,MEDICALDOC,2000,3.37
78,CZE,MEDICALDOC,2001,3.45
79,CZE,MEDICALDOC,2002,3.51
80,CZE,MEDICALDOC,2003,3.53
81,CZE,MEDICALDOC,2004,3.52
82,CZE,MEDICALDOC,2005,3.56
83,CZE,MEDICALDOC,2006,3.57
84,CZE,MEDICALDOC,2007,3.57
85,CZE,MEDICALDOC,2008,3.56
86,CZE,MEDICALDOC,2009,3.58
87,CZE,MEDICALDOC,2010,3.6
88,CZE,MEDICALDOC,2011,3.64
89,CZE,MEDICALDOC,2012,3.67
90,CZE,MEDICALDOC,2013,3.69
91,DNK,MEDICALDOC,1999,2.88
92,DNK,MEDICALDOC,2000,2.91
93,DNK,MEDICALDOC,2001,2.93
94,DNK,MEDICALDOC,2002,3.04
95,DNK,MEDICALDOC,2003,3.08
96,DNK,MEDICALDOC,2004,3.23
97,DNK,MEDICALDOC,2005,3.33
98,DNK,MEDICALDOC,2006,3.42
99,DNK,MEDICALDOC,2007,3.46
100,DNK,MEDICALDOC,2008,3.58
101,DNK,MEDICALDOC,2009,3.65
102,DNK,MEDICALDOC,2010,3.73
103,DNK,MEDICALDOC,2011,3.79
104,DNK,MEDICALDOC,2012,3.84
105,DNK,MEDICALDOC,2013,3.85
106,DNK,MEDICALDOC,2014,3.88
107,DNK,MEDICALDOC,2015,3.93
108,DNK,MEDICALDOC,2016,4.0
109,FIN,MEDICALDOC,1999,2.4
110,FIN,MEDICALDOC,2000,2.5
111,FIN,MEDICALDOC,2001,2.5
112,FIN,MEDICALDOC,2002,2.53
113,FIN,MEDICALDOC,2003,2.56
114,FIN,MEDICALDOC,2004,2.59
115,FIN,MEDICALDOC,2005,2.63
116,FIN,MEDICALDOC,2006,2.68
117,FIN,MEDICALDOC,2007,2.69
118,FIN,MEDICALDOC,2008,2.72
119,FIN,MEDICALDOC,2009,2.83
120,FIN,MEDICALDOC,2010,2.99
121,FIN,MEDICALDOC,2011,2.99
122,FIN,MEDICALDOC,2012,3.07
123,FIN,MEDICALDOC,2013,3.15
124,FIN,MEDICALDOC,2014,3.21
125,FRA,MEDICALDOC,1999,3.24
126,FRA,MEDICALDOC,2000,3.26
127,FRA,MEDICALDOC,2001,3.29
128,FRA,MEDICALDOC,2002,3.31
129,FRA,MEDICALDOC,2003,3.32
130,FRA,MEDICALDOC,2004,3.34
131,FRA,MEDICALDOC,2005,3.34
132,FRA,MEDICALDOC,2006,3.33
133,FRA,MEDICALDOC,2007,3.31
134,FRA,MEDICALDOC,2008,3.31
135,FRA,MEDICALDOC,2009,3.27
136,FRA,MEDICALDOC,2010,3.27
137,FRA,MEDICALDOC,2011,3.31
138,FRA,MEDICALDOC,2012,3.32
139,FRA,MEDICALDOC,2013,3.33
140,FRA,MEDICALDOC,2014,3.33
141,FRA,MEDICALDOC,2015,3.34
142,FRA,MEDICALDOC,2016,3.35
143,FRA,MEDICALDOC,2017,3.37
144,FRA,MEDICALDOC,2018,3.37
145,DEU,MEDICALDOC,1999,3.2
146,DEU,MEDICALDOC,2000,3.25
147,DEU,MEDICALDOC,2001,3.29
148,DEU,MEDICALDOC,2002,3.32
149,DEU,MEDICALDOC,2003,3.35
150,DEU,MEDICALDOC,2004,3.37
151,DEU,MEDICALDOC,2005,3.4
152,DEU,MEDICALDOC,2006,3.44
153,DEU,MEDICALDOC,2007,3.49
154,DEU,MEDICALDOC,2008,3.54
155,DEU,MEDICALDOC,2009,3.62
156,DEU,MEDICALDOC,2010,3.71
157,DEU,MEDICALDOC,2011,3.88
158,DEU,MEDICALDOC,2012,3.95
159,DEU,MEDICALDOC,2013,4.04
160,DEU,MEDICALDOC,2014,4.11
161,DEU,MEDICALDOC,2015,4.14
162,DEU,MEDICALDOC,2016,4.19
163,DEU,MEDICALDOC,2017,4.25
164,HUN,MEDICALDOC,1999,3.1
165,HUN,MEDICALDOC,2000,2.68
166,HUN,MEDICALDOC,2001,2.89
167,HUN,MEDICALDOC,2002,3.19
168,HUN,MEDICALDOC,2003,3.25
169,HUN,MEDICALDOC,2004,3.34
170,HUN,MEDICALDOC,2005,2.78
171,HUN,MEDICALDOC,2006,3.04
172,HUN,MEDICALDOC,2007,2.8
173,HUN,MEDICALDOC,2008,3.09
174,HUN,MEDICALDOC,2009,3.02
175,HUN,MEDICALDOC,2010,2.87
176,HUN,MEDICALDOC,2011,2.96
177,HUN,MEDICALDOC,2012,3.09
178,HUN,MEDICALDOC,2013,3.21
179,HUN,MEDICALDOC,2014,3.32
180,HUN,MEDICALDOC,2015,3.1
181,HUN,MEDICALDOC,2016,3.21
182,HUN,MEDICALDOC,2017,3.32
183,ISL,MEDICALDOC,1999,3.38
184,ISL,MEDICALDOC,2000,3.44
185,ISL,MEDICALDOC,2001,3.47
186,ISL,MEDICALDOC,2002,3.58
187,ISL,MEDICALDOC,2003,3.62
188,ISL,MEDICALDOC,2004,3.62
189,ISL,MEDICALDOC,2005,3.61
190,ISL,MEDICALDOC,2006,3.6
191,ISL,MEDICALDOC,2007,3.61
192,ISL,MEDICALDOC,2008,3.64
193,ISL,MEDICALDOC,2009,3.65
194,ISL,MEDICALDOC,2010,3.59
195,ISL,MEDICALDOC,2011,3.5
196,ISL,MEDICALDOC,2012,3.56
197,ISL,MEDICALDOC,2013,3.61
198,ISL,MEDICALDOC,2014,3.64
199,ISL,MEDICALDOC,2015,3.78
200,ISL,MEDICALDOC,2016,3.85
201,ISL,MEDICALDOC,2017,3.87
202,ISL,MEDICALDOC,2018,3.94
203,IRL,MEDICALDOC,2011,2.67
204,IRL,MEDICALDOC,2012,2.71
205,IRL,MEDICALDOC,2013,2.67
206,IRL,MEDICALDOC,2014,2.79
207,IRL,MEDICALDOC,2015,2.86
208,IRL,MEDICALDOC,2016,2.94
209,IRL,MEDICALDOC,2017,3.07
210,IRL,MEDICALDOC,2018,3.18
211,ITA,MEDICALDOC,2000,3.44
212,ITA,MEDICALDOC,2001,3.51
213,ITA,MEDICALDOC,2002,3.57
214,ITA,MEDICALDOC,2003,3.63
215,ITA,MEDICALDOC,2004,3.7
216,ITA,MEDICALDOC,2005,3.72
217,ITA,MEDICALDOC,2006,3.72
