Country,Variable,Year,Value
Australia,Hospitals,2000,1265.0
Australia,Hospitals,2001,1283.0
Australia,Hospitals,2002,1284.0
Australia,Hospitals,2003,1286.0
Australia,Hospitals,2004,1291.0
Australia,Hospitals,2005,1302.0
Australia,Hospitals,2006,1315.0
Australia,Hospitals,2007,1314.0
Australia,Hospitals,2008,1320.0
Australia,Hospitals,2009,1334.0
Australia,Hospitals,2010,1345.0
Australia,Hospitals,2011,1345.0
Australia,Hospitals,2012,1347.0
Australia,Hospitals,2013,1359.0
Australia,Hospitals,2014,1322.0
Australia,Hospitals,2015,1331.0
Australia,Hospitals,2016,1352.0
Australia,General hospitals,2000,1021.0
Australia,General hospitals,2001,1019.0
Australia,General hospitals,2002,1013.0
Australia,General hospitals,2003,1020.0
Australia,General hospitals,2004,1017.0
Australia,General hospitals,2005,1018.0
Australia,General hospitals,2006,1018.0
Australia,General hospitals,2008,1005.0
Australia,General hospitals,2009,1012.0
Australia,General hospitals,2010,986.0
Australia,General hospitals,2011,988.0
Australia,General hospitals,2012,983.0
Australia,General hospitals,2013,985.0
Australia,General hospitals,2014,928.0
Australia,General hospitals,2015,937.0
Australia,General hospitals,2016,938.0
Australia,Publicly owned hospitals,2000,749.0
Australia,Publicly owned hospitals,2001,746.0
Australia,Publicly owned hospitals,2002,748.0
Australia,Publicly owned hospitals,2003,761.0
Australia,Publicly owned hospitals,2004,759.0
Australia,Publicly owned hospitals,2005,755.0
Australia,Publicly owned hospitals,2006,758.0
Australia,Publicly owned hospitals,2007,762.0
Australia,Publicly owned hospitals,2008,756.0
Australia,Publicly owned hospitals,2009,753.0
Australia,Publicly owned hospitals,2010,752.0
Australia,Publicly owned hospitals,2011,753.0
Australia,Publicly owned hospitals,2012,746.0
Australia,Publicly owned hospitals,2013,747.0
Australia,Publicly owned hospitals,2014,698.0
Australia,Publicly owned hospitals,2015,701.0
Australia,Publicly owned hospitals,2016,695.0
Australia,Not-for-profit privately owned hospitals,2000,117.0
Australia,Not-for-profit privately owned hospitals,2001,118.0
Australia,Not-for-profit privately owned hospitals,2002,116.0
Australia,Not-for-profit privately owned hospitals,2003,117.0
Australia,Not-for-profit privately owned hospitals,2004,118.0
Australia,Not-for-profit privately owned hospitals,2005,123.0
Australia,Not-for-profit privately owned hospitals,2006,124.0
Australia,Not-for-profit privately owned hospitals,2008,116.0
Australia,Not-for-profit privately owned hospitals,2009,117.0
Australia,Not-for-profit privately owned hospitals,2010,115.0
Australia,Not-for-profit privately owned hospitals,2011,115.0
Australia,Not-for-profit privately owned hospitals,2012,110.0
Australia,Not-for-profit privately owned hospitals,2013,109.0
Australia,Not-for-profit privately owned hospitals,2014,107.0
Australia,Not-for-profit privately owned hospitals,2015,107.0
Australia,Not-for-profit privately owned hospitals,2016,114.0
Australia,For-profit privately owned hospitals,2000,399.0
Australia,For-profit privately owned hospitals,2001,419.0
Australia,For-profit privately owned hospitals,2002,420.0
Australia,For-profit privately owned hospitals,2003,408.0
Australia,For-profit privately owned hospitals,2004,414.0
Australia,For-profit privately owned hospitals,2005,424.0
Australia,For-profit privately owned hospitals,2006,433.0
Australia,For-profit privately owned hospitals,2008,448.0
Australia,For-profit privately owned hospitals,2009,464.0
Australia,For-profit privately owned hospitals,2010,478.0
Australia,For-profit privately owned hospitals,2011,477.0
Australia,For-profit privately owned hospitals,2012,491.0
Australia,For-profit privately owned hospitals,2013,503.0
Australia,For-profit privately owned hospitals,2014,517.0
Australia,For-profit privately owned hospitals,2015,523.0
Australia,For-profit privately owned hospitals,2016,543.0
Austria,Hospitals,2000,269.0
Austria,Hospitals,2001,264.0
Austria,Hospitals,2002,267.0
Austria,Hospitals,2003,261.0
Austria,Hospitals,2004,263.0
Austria,Hospitals,2005,264.0
Austria,Hospitals,2006,263.0
Austria,Hospitals,2007,269.0
Austria,Hospitals,2008,266.0
Austria,Hospitals,2009,266.0
Austria,Hospitals,2010,267.0
Austria,Hospitals,2011,272.0
Austria,Hospitals,2012,277.0
Austria,Hospitals,2013,278.0
Austria,Hospitals,2014,279.0
Austria,Hospitals,2015,278.0
Austria,Hospitals,2016,273.0
Austria,Hospitals,2017,271.0
Austria,General hospitals,2000,141.0
Austria,General hospitals,2001,141.0
Austria,General hospitals,2002,140.0
Austria,General hospitals,2003,139.0
Austria,General hospitals,2004,138.0
Austria,General hospitals,2005,136.0
Austria,General hospitals,2006,132.0
Austria,General hospitals,2007,132.0
Austria,General hospitals,2008,131.0
Austria,General hospitals,2009,130.0
Austria,General hospitals,2010,129.0
Austria,General hospitals,2011,128.0
Austria,General hospitals,2012,127.0
Austria,General hospitals,2013,124.0
Austria,General hospitals,2014,122.0
Austria,General hospitals,2015,119.0
Austria,General hospitals,2016,118.0
Austria,General hospitals,2017,116.0
Austria,Publicly owned hospitals,2000,171.0
Austria,Publicly owned hospitals,2001,168.0
Austria,Publicly owned hospitals,2002,168.0
Austria,Publicly owned hospitals,2003,162.0
Austria,Publicly owned hospitals,2004,160.0
Austria,Publicly owned hospitals,2005,161.0
Austria,Publicly owned hospitals,2006,158.0
Austria,Publicly owned hospitals,2007,159.0
Austria,Publicly owned hospitals,2008,156.0
Austria,Publicly owned hospitals,2009,156.0
Austria,Publicly owned hospitals,2010,155.0
Austria,Publicly owned hospitals,2011,156.0
Austria,Publicly owned hospitals,2012,154.0
Austria,Publicly owned hospitals,2013,154.0
Austria,Publicly owned hospitals,2014,154.0
Austria,Publicly owned hospitals,2015,153.0
Austria,Publicly owned hospitals,2016,148.0
Austria,Publicly owned hospitals,2017,147.0
Austria,Not-for-profit privately owned hospitals,2000,41.0
Austria,Not-for-profit privately owned hospitals,2001,41.0
Austria,Not-for-profit privately owned hospitals,2002,41.0
Austria,Not-for-profit privately owned hospitals,2003,41.0
Austria,Not-for-profit privately owned hospitals,2004,41.0
Austria,Not-for-profit privately owned hospitals,2005,41.0
Austria,Not-for-profit privately owned hospitals,2006,40.0
Austria,Not-for-profit privately owned hospitals,2007,42.0
Austria,Not-for-profit privately owned hospitals,2008,43.0
Austria,Not-for-profit privately owned hospitals,2009,43.0
Austria,Not-for-profit privately owned hospitals,2010,43.0
Austria,Not-for-profit privately owned hospitals,2011,42.0
Austria,Not-for-profit privately owned hospitals,2012,43.0
Austria,Not-for-profit privately owned hospitals,2013,43.0
Austria,Not-for-profit privately owned hospitals,2014,42.0
Austria,Not-for-profit privately owned hospitals,2015,42.0
Austria,Not-for-profit privately owned hospitals,2016,41.0
Austria,Not-for-profit privately owned hospitals,2017,39.0
Austria,For-profit privately owned hospitals,2000,57.0
Austria,For-profit privately owned hospitals,2001,55.0
Austria,For-profit privately owned hospitals,2002,58.0
Austria,For-profit privately owned hospitals,2003,58.0
Austria,For-profit privately owned hospitals,2004,62.0
Austria,For-profit privately owned hospitals,2005,62.0
Austria,For-profit privately owned hospitals,2006,65.0
Austria,For-profit privately owned hospitals,2007,68.0
Austria,For-profit privately owned hospitals,2008,67.0
Austria,For-profit privately owned hospitals,2009,67.0
Austria,For-profit privately owned hospitals,2010,69.0
Austria,For-profit privately owned hospitals,2011,74.0
Austria,For-profit privately owned hospitals,2012,80.0
Austria,For-profit privately owned hospitals,2013,81.0
Austria,For-profit privately owned hospitals,2014,83.0
Austria,For-profit privately owned hospitals,2015,83.0
Austria,For-profit privately owned hospitals,2016,84.0
Austria,For-profit privately owned hospitals,2017,85.0
Belgium,Hospitals,2000,225.0
Belgium,Hospitals,2001,221.0
Belgium,Hospitals,2002,218.0
Belgium,Hospitals,2003,216.0
Belgium,Hospitals,2004,214.0
Belgium,Hospitals,2005,214.0
Belgium,Hospitals,2006,211.0
Belgium,Hospitals,2007,208.0
Belgium,Hospitals,2008,205.0
Belgium,Hospitals,2009,200.0
Belgium,Hospitals,2010,195.0
Belgium,Hospitals,2011,195.0
Belgium,Hospitals,2012,194.0
Belgium,Hospitals,2013,190.0
Belgium,Hospitals,2014,180.0
Belgium,Hospitals,2015,179.0
Belgium,Hospitals,2016,177.0
Belgium,Hospitals,2017,175.0
Belgium,Hospitals,2018,174.0
Belgium,General hospitals,2000,158.0
Belgium,General hospitals,2001,157.0
Belgium,General hospitals,2002,152.0
Belgium,General hospitals,2003,149.0
Belgium,General hospitals,2004,146.0
Belgium,General hospitals,2005,147.0
Belgium,General hospitals,2006,146.0
Belgium,General hospitals,2007,142.0
Belgium,General hospitals,2008,141.0
Belgium,General hospitals,2009,136.0
Belgium,General hospitals,2010,131.0
Belgium,General hospitals,2011,128.0
Belgium,General hospitals,2012,128.0
Belgium,General hospitals,2013,127.0
Belgium,General hospitals,2014,124.0
Belgium,General hospitals,2015,116.0
Belgium,General hospitals,2016,115.0
Belgium,General hospitals,2017,115.0
Belgium,General hospitals,2018,114.0
Belgium,Publicly owned hospitals,2000,68.0
Belgium,Publicly owned hospitals,2001,68.0
