Country Name,Indicator Name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,COV
Aruba,ICT goods exports (% of total goods exports),,,,,,,,,,,0.5097531455,0.4044306018,0.41958346979999994,0.7137911937,0.4125332385,0.9336203664,0.5428718449000001,1.038984469,1.185680405,,,0.4360691913594919
Aruba,ICT goods imports (% total goods imports),,,,,,,,,,,4.839070638,4.764945141,4.627907503,4.420785604,5.268658835,5.243941235,5.734922383,4.918148445,4.854329664,,,0.0794097966867294
Aruba,Individuals using the Internet (% of population),4.5061790980000005,15.44282295,17.1,18.8,20.8,23.0,25.4,28.0,30.9,52.0,58.0,62.0,69.0,74.0,78.9,83.78,88.66122693,93.54245387,97.17,,,0.7259771590403467
Aruba,Secure Internet servers (per 1 million people),,,,,,,,,,,,88.5225585,127.3935284,253.5101404,426.52604230000003,568.5431804,757.1328624,1172.858342,977.5449386,1152.6288439999998,,0.6899921324318322
Aruba,Secure Internet servers,,,,,,,,,,,,9.0,13.0,26.0,44.0,59.0,79.0,123.0,103.0,122.0,,0.6982126452433771
Aruba,Fixed broadband subscriptions (per 100 people),,,,,1.4420153169999999,7.052067613999999,12.27019624,13.83759446,15.802888699999999,18.14952939,18.53038293,18.90153341,,,18.61204548,18.50174417,18.20952454,,,,,0.39078965201822347
Aruba,Fixed broadband subscriptions,,,,,1399.0,6963.0,12274.0,13953.0,15996.0,18396.0,18800.0,19217.0,,,19200.0,19200.0,19000.0,,,,,0.3981629581332367
Aruba,Fixed telephone subscriptions (per 100 people),41.07297343,41.93587443,39.97072058,39.08960755,38.53963738,38.48911755,38.24714339,38.33131682,38.14289384,37.94569743,36.17367306,34.46478278,,35.10140406,33.92820791,33.72713782,33.54386099,,,,,0.2452098065172044
Aruba,Fixed telephone subscriptions,36557.0,38100.0,37132.0,37132.0,37390.0,38003.0,38259.0,38651.0,38609.0,38461.0,36700.0,35040.0,,36000.0,35000.0,35000.0,35000.0,,,,,0.3816820433393889
Aruba,Mobile cellular subscriptions (per 100 people),13.48238863,16.51018679,57.05182028,65.05811016,72.10282734,99.64754854,103.3849507,108.12821070000001,112.21473590000002,119.18743459999999,126.16430929999999,129.636369,,131.6302652,134.5495788,134.6194615,135.13384,,,,,1.4047696949073623
Aruba,Mobile cellular subscriptions,12000.0,15000.0,53000.0,61800.0,69952.0,98389.0,103417.0,109030.0,113586.0,120806.0,128000.0,131800.0,,135000.0,138800.0,139700.0,141000.0,,,,,1.4233999568757436
Aruba,Container port traffic (TEU: 20 foot equivalent units),,,,,,,,,135000.0,140000.0,125000.0,49558.0,169719.0,167948.0,191838.0,29628.0,30000.0,31323.0,31689.0,32323.0,,0.6943247320321664
