,ICT goods exports (% of total goods exports),ICT goods imports (% total goods imports),Individuals using the Internet (% of population),Fixed broadband subscriptions (per 100 people),Fixed broadband subscriptions,Fixed telephone subscriptions (per 100 people),Fixed telephone subscriptions,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions,Container port traffic (TEU: 20 foot equivalent units),Liner shipping connectivity index (maximum value in 2004 = 100),"Air transport, passengers carried","Air transport, freight (million ton-km)","Air transport, registered carrier departures worldwide","Trademark applications, resident, by count","Trademark applications, nonresident, by count","Industrial design applications, resident, by count","Industrial design applications, nonresident, by count",Public private partnerships investment in water and sanitation (current US$),Public private partnerships investment in transport (current US$),Public private partnerships investment in energy (current US$),Investment in water and sanitation with private participation (current US$),Investment in transport with private participation (current US$),Investment in energy with private participation (current US$),Electric power consumption (kWh per capita),Electricity production from oil sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from natural gas sources (% of total),Electric power transmission and distribution losses (% of output),Electricity production from hydroelectric sources (% of total),Electricity production from coal sources (% of total),"ICT service exports (% of service exports, BoP)","ICT service exports (BoP, current US$)",Year
1999,18.507953196666666,17.130351535555555,1.857436221,6.913037358947369,8203597.2105263155,11.20931818,10927385.0,7.931115889,7731635.0,3545091.2826315793,36.86266666666667,20561100.0,317.0,328300.0,71826.6,31781.4,608.0,976.0,173600000.0,370200000.0,306300000.0,173600000.0,370200000.0,348500000.0,1689.185862,45.3741319,5.222703775,18.80998381,14.2885489,17.11764399,9.685656102000001,10.12930555,1168485000.0,1999
2000,20.90953692,17.90066426,5.081384153,0.015166859,15000.0,12.46885271,12331676.0,14.23448136,14077880.0,1315701.0,36.86266666666667,20894205.0,309.858,290412.0,71826.6,31781.4,668.0,1258.0,375763333.3333333,793600000.0,1469000000.0,375763333.3333333,793600000.0,2214300000.0,1800.467938,45.50820469,3.997082776,21.45569466,13.84854747,16.10939589,9.234958065,8.997126037000001,1212828000.0,2000
2001,22.06184116,18.90653072,7.038023117000001,0.049851367,50000.0,13.73320005,13774146.0,21.69288102,21757559.0,1358136.0,36.86266666666667,20172824.0,295.884,292208.0,71826.6,31781.4,779.0,973.0,72000000.0,223800000.0,311000000.0,72000000.0,223800000.0,311000000.0,1834.151423,42.00235527,4.077798755,26.02015066,14.05779763,13.31943847,10.79406322,6.325089853,787198737.0,2001
2002,20.73997913,17.29867231,11.9,0.227650638,231486.0,14.72697117,14975085.0,25.49867503,25928266.0,1564540.0,36.86266666666667,19618662.0,341.598,278456.0,71826.6,31781.4,769.0,1208.0,375763333.3333333,71400000.0,2124000000.0,375763333.3333333,71400000.0,2124000000.0,1843.963674,34.38486672,4.466572878,34.16673922,14.16912213,11.43382168,11.92598329,4.442750529,557379926.0,2002
2003,19.31120959,17.3921073,12.9,0.415567289,428371.0,15.84197168,16330066.0,29.19810068,30097700.0,1693791.0,36.86266666666667,20661206.0,350.089,287017.0,71826.6,31781.4,820.0,1162.0,375763333.3333333,74700000.0,1285000000.0,375763333.3333333,74700000.0,1285000000.0,2001.018228,30.34836612,4.445912022,40.14317344,12.31240766,8.415990382,12.9368335,3.3973675360000004,422526091.0,2003
2004,19.68440154,18.40980629,14.1,1.011608561,1057282.0,17.29249367,18073238.0,36.79008756,38451135.0,1903345.0,25.29,21167881.0,394.925,330441.0,38314.0,20239.0,902.0,1555.0,421700000.0,485600000.0,695000000.0,421700000.0,485600000.0,695000000.0,1927.073923,28.88843057,3.8698055,42.79262405,14.69002412,10.60934494,10.00071554,3.082826888,422529943.0,2004
2005,17.98881622,17.14295814,17.21,1.81345061,1922352.0,18.40666632,19512024.0,44.45889887,47128746.0,2144345.0,25.49,21857658.0,390.425,331225.0,41680.0,22219.0,987.0,1790.0,30000000.0,1321300000.0,120000000.0,30000000.0,1321300000.0,120000000.0,1996.392573,27.30372296,4.308763479,40.13350986,14.92136158,11.04965546,13.05668985,3.482020696,547927373.0,2005
2006,18.76937335,17.54099669,19.52,2.807731224,3020000.0,18.46529449,19861299.0,51.50184288,55395461.0,2680374.0,29.78,21243010.0,456.958,317856.0,45161.0,24620.0,1041.0,1982.0,53100000.0,2744430000.0,801000000.0,53100000.0,2744430000.0,801000000.0,2020.952871,21.79696046,4.214862569,46.32508669,15.3606256,11.80983856,12.32884151,3.343792579,535420079.4,2006
2007,17.71361898,13.50520036,20.81,4.126043132,4504422.0,18.31804621,19997903.0,60.96835755,66559462.0,1661288.0,30.98,20952513.0,482.34,309633.0,54610.0,28608.0,943.0,1939.0,306500000.0,6146400000.0,120000000.0,306500000.0,6146400000.0,120000000.0,2047.531118,20.25128924,3.92842064,49.79794324,15.26885612,10.30640248,11.93190386,2.753845563,482918854.5,2007
2008,19.53446412,16.11243204,21.71,6.797468374,7532633.0,18.4915218,20491430.0,67.95405391,75303469.0,3312717.195,31.17,18825976.0,482.785,266244.0,56592.0,27695.0,1188.0,1993.0,38900000.0,905080000.0,562000000.0,38900000.0,905080000.0,562000000.0,2046.694449,18.82145443,3.640346806,52.0969868,15.37567532,14.55321835,7.898186139,2.260716465,406308085.3,2008
