,LOCATION,INDICATOR,TIME,Value
0,AUS,PHARMAEXP,1998,258.948
1,AUS,PHARMAEXP,1999,287.245
2,AUS,PHARMAEXP,2000,338.16
3,AUS,PHARMAEXP,2001,367.652
4,AUS,PHARMAEXP,2002,381.43300000000005
5,AUS,PHARMAEXP,2003,406.171
6,AUS,PHARMAEXP,2004,441.00800000000004
7,AUS,PHARMAEXP,2005,437.125
8,AUS,PHARMAEXP,2006,457.501
9,AUS,PHARMAEXP,2007,486.075
10,AUS,PHARMAEXP,2008,516.3330000000001
11,AUS,PHARMAEXP,2009,531.594
12,AUS,PHARMAEXP,2010,561.965
13,AUS,PHARMAEXP,2011,583.222
14,AUS,PHARMAEXP,2012,589.993
15,AUS,PHARMAEXP,2013,613.247
16,AUS,PHARMAEXP,2014,602.887
17,AUS,PHARMAEXP,2015,635.229
18,AUS,PHARMAEXP,2016,672.576
19,AUT,PHARMAEXP,1998,287.437
20,AUT,PHARMAEXP,1999,322.48900000000003
21,AUT,PHARMAEXP,2000,356.852
22,AUT,PHARMAEXP,2001,368.574
23,AUT,PHARMAEXP,2002,407.91
24,AUT,PHARMAEXP,2003,435.147
25,AUT,PHARMAEXP,2004,453.999
26,AUT,PHARMAEXP,2005,460.159
27,AUT,PHARMAEXP,2006,481.972
28,AUT,PHARMAEXP,2007,511.719
29,AUT,PHARMAEXP,2008,538.5269999999999
30,AUT,PHARMAEXP,2009,507.167
31,AUT,PHARMAEXP,2010,520.232
32,AUT,PHARMAEXP,2011,534.067
33,AUT,PHARMAEXP,2012,553.4780000000001
34,AUT,PHARMAEXP,2013,566.622
35,AUT,PHARMAEXP,2014,590.012
36,AUT,PHARMAEXP,2015,607.802
37,AUT,PHARMAEXP,2016,617.2959999999999
38,AUT,PHARMAEXP,2017,646.002
39,BEL,PHARMAEXP,2003,497.653
40,BEL,PHARMAEXP,2004,520.798
41,BEL,PHARMAEXP,2005,519.4630000000001
42,BEL,PHARMAEXP,2006,517.172
43,BEL,PHARMAEXP,2007,541.871
44,BEL,PHARMAEXP,2008,569.867
45,BEL,PHARMAEXP,2009,576.823
46,BEL,PHARMAEXP,2010,596.0419999999999
47,BEL,PHARMAEXP,2011,607.533
48,BEL,PHARMAEXP,2012,600.47
49,BEL,PHARMAEXP,2013,617.653
50,BEL,PHARMAEXP,2014,613.8580000000001
51,BEL,PHARMAEXP,2015,653.03
52,BEL,PHARMAEXP,2016,666.936
53,BEL,PHARMAEXP,2017,688.71
54,CAN,PHARMAEXP,1998,345.411
55,CAN,PHARMAEXP,1999,369.05199999999996
56,CAN,PHARMAEXP,2000,406.89300000000003
57,CAN,PHARMAEXP,2001,443.805
58,CAN,PHARMAEXP,2002,480.974
59,CAN,PHARMAEXP,2003,519.871
60,CAN,PHARMAEXP,2004,561.586
61,CAN,PHARMAEXP,2005,594.472
62,CAN,PHARMAEXP,2006,625.136
63,CAN,PHARMAEXP,2007,656.8860000000001
64,CAN,PHARMAEXP,2008,674.5219999999999
65,CAN,PHARMAEXP,2009,693.0319999999999
66,CAN,PHARMAEXP,2010,755.9889999999999
67,CAN,PHARMAEXP,2011,758.9830000000001
68,CAN,PHARMAEXP,2012,754.877
69,CAN,PHARMAEXP,2013,756.346
70,CAN,PHARMAEXP,2014,768.084
71,CAN,PHARMAEXP,2015,783.7289999999999
72,CAN,PHARMAEXP,2016,793.6060000000001
73,CAN,PHARMAEXP,2017,805.78
74,CAN,PHARMAEXP,2018,831.7869999999999
75,CZE,PHARMAEXP,1998,223.158
76,CZE,PHARMAEXP,1999,229.864
77,CZE,PHARMAEXP,2000,252.856
78,CZE,PHARMAEXP,2001,289.71299999999997
79,CZE,PHARMAEXP,2002,317.795
80,CZE,PHARMAEXP,2003,351.185
81,CZE,PHARMAEXP,2004,375.895
82,CZE,PHARMAEXP,2005,391.50800000000004
83,CZE,PHARMAEXP,2006,365.978
84,CZE,PHARMAEXP,2007,368.716
85,CZE,PHARMAEXP,2008,381.10400000000004
86,CZE,PHARMAEXP,2009,454.695
87,CZE,PHARMAEXP,2010,408.588
88,CZE,PHARMAEXP,2011,417.199
89,CZE,PHARMAEXP,2012,449.37300000000005
90,CZE,PHARMAEXP,2013,444.04699999999997
91,CZE,PHARMAEXP,2014,442.845
92,CZE,PHARMAEXP,2015,444.375
93,CZE,PHARMAEXP,2016,458.042
94,CZE,PHARMAEXP,2017,484.115
95,DNK,PHARMAEXP,1998,198.359
96,DNK,PHARMAEXP,1999,197.47400000000002
97,DNK,PHARMAEXP,2000,212.59400000000002
98,DNK,PHARMAEXP,2001,221.99400000000003
99,DNK,PHARMAEXP,2002,255.15
100,DNK,PHARMAEXP,2003,251.65900000000002
101,DNK,PHARMAEXP,2004,260.599
102,DNK,PHARMAEXP,2005,258.681
103,DNK,PHARMAEXP,2006,286.504
104,DNK,PHARMAEXP,2007,316.513
105,DNK,PHARMAEXP,2008,314.596
106,DNK,PHARMAEXP,2009,306.48
107,DNK,PHARMAEXP,2010,336.80400000000003
108,DNK,PHARMAEXP,2011,327.444
109,DNK,PHARMAEXP,2012,319.972
110,DNK,PHARMAEXP,2013,308.551
111,DNK,PHARMAEXP,2014,310.697
112,DNK,PHARMAEXP,2015,316.501
113,DNK,PHARMAEXP,2016,315.387
114,DNK,PHARMAEXP,2017,318.015
115,FIN,PHARMAEXP,1998,223.09799999999998
116,FIN,PHARMAEXP,1999,250.551
117,FIN,PHARMAEXP,2000,282.025
118,FIN,PHARMAEXP,2001,306.45799999999997
119,FIN,PHARMAEXP,2002,344.582
120,FIN,PHARMAEXP,2003,354.065
121,FIN,PHARMAEXP,2004,388.103
122,FIN,PHARMAEXP,2005,399.34
123,FIN,PHARMAEXP,2006,389.217
124,FIN,PHARMAEXP,2007,425.689
125,FIN,PHARMAEXP,2008,457.11400000000003
126,FIN,PHARMAEXP,2009,446.097
127,FIN,PHARMAEXP,2010,446.58
128,FIN,PHARMAEXP,2011,448.472
129,FIN,PHARMAEXP,2012,460.33099999999996
130,FIN,PHARMAEXP,2013,472.55300000000005
131,FIN,PHARMAEXP,2014,469.36800000000005
132,FIN,PHARMAEXP,2015,484.778
133,FIN,PHARMAEXP,2016,506.974
134,FIN,PHARMAEXP,2017,507.691
135,FIN,PHARMAEXP,2018,519.7180000000001
136,FRA,PHARMAEXP,1998,368.366
137,FRA,PHARMAEXP,1999,398.61699999999996
138,FRA,PHARMAEXP,2000,453.894
139,FRA,PHARMAEXP,2001,498.135
140,FRA,PHARMAEXP,2002,541.758
141,FRA,PHARMAEXP,2003,536.663
