Country,Variable,Year,Value
Australia,"Computed Tomography scanners, total",2000,500.0
Australia,"Computed Tomography scanners, total",2001,560.0
Australia,"Computed Tomography scanners, total",2002,670.0
Australia,"Computed Tomography scanners, total",2003,800.0
Australia,"Computed Tomography scanners, total",2004,910.0
Australia,"Computed Tomography scanners, total",2005,1040.0
Australia,"Computed Tomography scanners, total",2006,1160.0
Australia,"Computed Tomography scanners, total",2009,849.0
Australia,"Computed Tomography scanners, total",2010,949.0
Australia,"Computed Tomography scanners, total",2011,990.0
Australia,"Computed Tomography scanners, total",2012,1148.0
Australia,"Computed Tomography scanners, total",2013,1241.0
Australia,"Computed Tomography scanners, total",2014,1316.0
Australia,"Computed Tomography scanners, total",2015,1418.0
Australia,"Computed Tomography scanners, total",2016,1524.0
Australia,"Computed Tomography scanners, total",2017,1583.0
Australia,"Computed Tomography scanners, total",2018,1681.0
Australia,"Magnetic Resonance Imaging units, total",2000,67.0
Australia,"Magnetic Resonance Imaging units, total",2001,73.0
Australia,"Magnetic Resonance Imaging units, total",2002,73.0
Australia,"Magnetic Resonance Imaging units, total",2003,73.0
Australia,"Magnetic Resonance Imaging units, total",2004,75.0
Australia,"Magnetic Resonance Imaging units, total",2005,86.0
Australia,"Magnetic Resonance Imaging units, total",2006,100.0
Australia,"Magnetic Resonance Imaging units, total",2007,108.0
Australia,"Magnetic Resonance Imaging units, total",2008,120.0
Australia,"Magnetic Resonance Imaging units, total",2009,124.0
Australia,"Magnetic Resonance Imaging units, total",2010,125.0
Australia,"Magnetic Resonance Imaging units, total",2011,125.0
Australia,"Magnetic Resonance Imaging units, total",2012,125.0
Australia,"Magnetic Resonance Imaging units, total",2013,320.0
Australia,"Magnetic Resonance Imaging units, total",2014,344.0
Australia,"Magnetic Resonance Imaging units, total",2015,345.0
Australia,"Magnetic Resonance Imaging units, total",2016,346.0
Australia,"Magnetic Resonance Imaging units, total",2017,348.0
Australia,"Magnetic Resonance Imaging units, total",2018,352.0
Australia,"Positron Emission Tomography (PET) scanners, total",2008,15.0
Australia,"Positron Emission Tomography (PET) scanners, total",2009,24.0
Australia,"Positron Emission Tomography (PET) scanners, total",2010,31.0
Australia,"Positron Emission Tomography (PET) scanners, total",2011,32.0
Australia,"Positron Emission Tomography (PET) scanners, total",2012,42.0
Australia,"Positron Emission Tomography (PET) scanners, total",2013,47.0
Australia,"Positron Emission Tomography (PET) scanners, total",2014,56.0
Australia,"Positron Emission Tomography (PET) scanners, total",2015,63.0
Australia,"Positron Emission Tomography (PET) scanners, total",2016,74.0
Australia,"Positron Emission Tomography (PET) scanners, total",2017,81.0
Australia,"Positron Emission Tomography (PET) scanners, total",2018,96.0
Australia,"Gamma cameras, total",2008,419.0
Australia,"Gamma cameras, total",2009,441.0
Australia,"Gamma cameras, total",2010,455.0
