Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5097531455,0.4044306018,0.4195834698,0.7137911937,0.4125332385,0.9336203664,0.5428718449,1.038984469,1.185680405,,
Aruba,ABW,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.839070638,4.764945141,4.627907503,4.420785604,5.268658835,5.243941235,5.734922383,4.918148445,4.854329664,,
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2.768382663,,,4.506179098,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.66122693,93.54245387,97.17,,
Aruba,ABW,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5225585,127.3935284,253.5101404,426.5260423,568.5431804,757.1328624,1172.858342,977.5449386,1152.628844,
Aruba,ABW,Secure Internet servers,IT.NET.SECR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,13,26,44,59,79,123,103,122,
Aruba,ABW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.442015317,7.052067614,12.27019624,13.83759446,15.8028887,18.14952939,18.53038293,18.90153341,,,18.61204548,18.50174417,18.20952454,,,,
Aruba,ABW,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,6963,12274,13953,15996,18396,18800,19217,,,19200,19200,19000,,,,
Aruba,ABW,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,,,,,,,,14.67112234,16.07691195,17.50588834,19.03976137,20.83998468,22.45888118,25.73388562,28.62268974,30.10828815,29.40175173,29.89668059,28.96391923,28.03129074,33.98735123,40.35576923,38.87608103,40.17553307,41.07297343,41.93587443,39.97072058,39.08960755,38.53963738,38.48911755,38.24714339,38.33131682,38.14289384,37.94569743,36.17367306,34.46478278,,35.10140406,33.92820791,33.72713782,33.54386099,,,,
Aruba,ABW,Fixed telephone subscriptions,IT.MLT.MAIN,,,,,,,,,,,,,,,,,,,,,,,9000,10000,11000,12000,13055,13887,15718,17469,18712,19000,20400,21000,21500,27300,33576,33220,35064,36557,38100,37132,37132,37390,38003,38259,38651,38609,38461,36700,35040,,36000,35000,35000,35000,,,,
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029310471,,,2.138837707,3.605769231,3.981229008,6.16428154,13.48238863,16.51018679,57.05182028,65.05811016,72.10282734,99.64754854,103.3849507,108.1282107,112.2147359,119.1874346,126.1643093,129.636369,,131.6302652,134.5495788,134.6194615,135.13384,,,,
