LOCATION,COV
LUX,2.3753538210227165
IRL,2.271799500957784
NOR,2.2220616234381594
GBR,2.213435053394535
USA,2.2088834398553496
DNK,2.1941892760954484
KOR,2.17960588053617
DEU,2.17583372327554
JPN,2.147319225048551
FIN,2.1273373334282164
NZL,2.1100881370242215
AUS,2.0841662331985824
NLD,2.04346277263929
SWE,2.0413107643222865
CZE,2.0247605359153966
ISL,1.9885543290822971
ESP,1.982092633643711
FRA,1.9768567454015171
AUT,1.9713213492168775
TUR,1.9462475085473334
CAN,1.9335217941103489
PRT,1.904443079870221
ITA,1.898562441427103
POL,1.8099547858563332
SVK,1.7760296571039285
HRV,1.7651014424668345
EST,1.7546670755905023
ROU,1.7182274738649266
BEL,1.7117340559264456
SVN,1.6593202471155588
HUN,1.6527597184406284
ISR,1.6442047005798466
COL,1.6397077793476107
LTU,1.6339962449568117
ZAF,1.6006270758647396
CHE,1.6001278416920817
MLT,1.5778609347656796
CRI,1.5617094603703892
CHL,1.5506438153184332
GRC,1.5292658284625777
RUS,1.5215234537778652
BGR,1.518550670664205
LVA,1.4787068513114412
CHN,1.4652933283593172
BRA,1.4603961751113745
CYP,1.4211929790949114
MEX,1.359970174657595
IDN,1.206455970624444
OAVG,1.0395317299992437
IND,0.992668401048552
