LOCATION,COV
BRA,0.49401996084798694
CHN,0.39513766546598783
COL,0.34235438655213857
IND,0.2836368394993578
KOR,0.27446046854384715
TUR,0.2507906600447713
ZAF,0.2442081698690275
IDN,0.1954177862159983
LUX,0.1884318632288813
FRA,0.16840760577698807
ESP,0.1554100178226243
PRT,0.1398060260509244
CHE,0.1287329314788642
NOR,0.12298421514644049
MEX,0.11523206695708378
JPN,0.10643864903919831
SVN,0.10325024356793878
RUS,0.10282993430610195
SVK,0.0962950915922942
DEU,0.08819047467480165
AUT,0.0845835070914544
FIN,0.07920833967427822
BEL,0.07322378202621357
LVA,0.07002702626498725
GRC,0.06681713211644044
HUN,0.06554395857947275
AUS,0.05954751604888774
ISL,0.05582903895399183
NLD,0.05529992197923126
GBR,0.05396831207277657
CAN,0.05224428022802994
ISR,0.05078926871246785
SWE,0.049510898743773735
NZL,0.04885220901433217
IRL,0.047663720784109805
USA,0.046820888149836815
LTU,0.042804589550874385
ITA,0.03667543328286084
POL,0.03564186282445738
EST,0.03474439568801838
DNK,0.03060263793351849
CZE,0.02854510158717928
