Country,COV
Mexico,2.168663021246101
Chile,1.7552415253972171
Korea,1.712308885422881
Japan,1.6815811558828178
Canada,1.6094508907406275
France,1.59868524669725
Poland,1.5599453175500124
Italy,1.537383834669556
Australia,1.537054284180686
Finland,1.511528094389364
Greece,1.5006808575932362
Israel,1.4832066140627065
Colombia,1.4822012153918527
Spain,1.4661039580749393
Russia,1.45319960952475
Denmark,1.4274824262753736
Portugal,1.4245354836201323
Turkey,1.3979079041398936
Lithuania,1.3864030179648787
Netherlands,1.3841770585097577
Austria,1.3810104267002288
United States,1.3722591504488455
Germany,1.369776757252031
Latvia,1.3375128506914569
Slovak Republic,1.274289452203467
Czech Republic,1.2663302557926845
Hungary,1.2494170777771028
Switzerland,1.2410034579116198
Brazil,1.2349813281604982
Costa Rica,1.2038557751192531
Estonia,1.1701033490753916
Iceland,1.1677191585584477
Belgium,1.1155167938819937
Sweden,1.0968069586675728
United Kingdom,1.0748546831674781
Luxembourg,1.070011446854384
New Zealand,1.0194607739933657
Ireland,0.9962493959744227
Slovenia,0.9509865602015561
