Country,COV
Iceland,6.827374563490047
Chile,6.8245748250836975
Hungary,5.387268241633648
Denmark,5.193154453973367
United Kingdom,4.898067071647435
Sweden,4.842241650224994
Switzerland,4.348566385498769
United States,4.346515528121327
France,4.336614083486223
Norway,4.222294491128079
Czech Republic,4.204086121952695
Germany,4.121869596617673
Korea,4.078238682974813
Luxembourg,3.7340188809785406
Netherlands,3.690611851855762
Israel,3.649399280559359
Japan,3.6462618147623362
Austria,3.544115875495377
Australia,3.508237892328586
Latvia,3.4313975002606885
Italy,3.4159868123391854
Canada,3.4065311597595223
Slovenia,3.381035039646557
Poland,3.3535740680201815
New Zealand,3.3205286627275474
Spain,3.275637433877743
Turkey,3.27339635195591
Ireland,3.2388673827423005
Finland,3.238171905631227
Lithuania,3.1638138230815547
Slovak Republic,3.1623709852189608
Belgium,3.146926507894247
Portugal,3.04568069187691
Estonia,2.9729988134370937
Mexico,2.968214131857857
Greece,2.958915333874339
Costa Rica,2.062657191521433
Russia,1.7847266336698122
Brazil,1.7137232244932676
South Africa,1.5418191553622966
Colombia,1.477927335569969
Indonesia,1.2671297846466407
China (People's Republic of),1.171717477573787
India,1.1652881857996968
