,Year,ICT goods exports (% of total goods exports),ICT goods imports (% total goods imports),Individuals using the Internet (% of population),Fixed broadband subscriptions (per 100 people),Fixed broadband subscriptions,Fixed telephone subscriptions (per 100 people),Fixed telephone subscriptions,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions,Container port traffic (TEU: 20 foot equivalent units),Liner shipping connectivity index (maximum value in 2004 = 100),"Air transport, passengers carried","Air transport, freight (million ton-km)","Air transport, registered carrier departures worldwide","Trademark applications, resident, by count","Trademark applications, nonresident, by count","Industrial design applications, resident, by count","Industrial design applications, nonresident, by count",Public private partnerships investment in water and sanitation (current US$),Public private partnerships investment in transport (current US$),Public private partnerships investment in energy (current US$),Investment in water and sanitation with private participation (current US$),Investment in transport with private participation (current US$),Investment in energy with private participation (current US$),Electric power consumption (kWh per capita),Electricity production from oil sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from natural gas sources (% of total),Electric power transmission and distribution losses (% of output),Electricity production from hydroelectric sources (% of total),Electricity production from coal sources (% of total),"ICT service exports (% of service exports, BoP)","ICT service exports (BoP, current US$)",Healthcare Expenditure Percent GDP,Pharmaceutical Spending US $ / Capita,CT Scan Device Counts,PET Scan Device Counts,Doctors per 1000 People,Nurses per 1000 People,Hospital Count,Total Cases
1999,1999,18.5079532,17.13035154,1.857436221,6.913037359,8203597.211,11.20931818,10927385,7.931115889,7731635,3545091.283,36.86266667,20561100,317,328300,71826.6,31781.4,608,976,173600000,370200000,306300000,173600000,370200000,348500000,1689.185862,45.3741319,5.222703775,18.80998381,14.2885489,17.11764399,9.685656102,10.12930555,1168485000,4.395,88.193,200,0,1.67,2.14,3940,8645
2000,2000,20.90953692,17.90066426,5.081384153,0.015166859,15000,12.46885271,12331676,14.23448136,14077880,1315701,36.86266667,20894205,309.858,290412,71826.6,31781.4,668,1258,375763333.3,793600000,1469000000,375763333.3,793600000,2214300000,1800.467938,45.50820469,3.997082776,21.45569466,13.84854747,16.10939589,9.234958065,8.997126037,1212828000,4.449,100.973,220,0,1.59,2.19,3952,4277
2001,2001,22.06184116,18.90653072,7.038023117,0.049851367,50000,13.73320005,13774146,21.69288102,21757559,1358136,36.86266667,20172824,295.884,292208,71826.6,31781.4,779,973,72000000,223800000,311000000,72000000,223800000,311000000,1834.151423,42.00235527,4.077798755,26.02015066,14.05779763,13.31943847,10.79406322,6.325089853,787198737,4.82,110.626,250,0,1.49,2.19,3978,4675
2002,2002,20.73997913,17.29867231,11.9,0.227650638,231486,14.72697117,14975085,25.49867503,25928266,1564540,36.86266667,19618662,341.598,278456,71826.6,31781.4,769,1208,375763333.3,71400000,2124000000,375763333.3,71400000,2124000000,1843.963674,34.38486672,4.466572878,34.16673922,14.16912213,11.43382168,11.92598329,4.442750529,557379926,5.072,127.529,296,0,1.5,2.19,4088,4506
2003,2003,19.31120959,17.3921073,12.9,0.415567289,428371,15.84197168,16330066,29.19810068,30097700,1693791,36.86266667,20661206,350.089,287017,71826.6,31781.4,820,1162,375763333.3,74700000,1285000000,375763333.3,74700000,1285000000,2001.018228,30.34836612,4.445912022,40.14317344,12.31240766,8.415990382,12.9368335,3.397367536,422526091,5.815,242.818,309,0,1.55,2.1,4150,5101
2004,2004,19.68440154,18.40980629,14.1,1.011608561,1057282,17.29249367,18073238,36.79008756,38451135,1903345,25.29,21167881,394.925,330441,38314,20239,902,1555,421700000,485600000,695000000,421700000,485600000,695000000,1927.073923,28.88843057,3.8698055,42.79262405,14.69002412,10.60934494,10.00071554,3.082826888,422529943,5.954,264.753,289,0,1.63,2.08,4110,961
2005,2005,17.98881622,17.14295814,17.21,1.81345061,1922352,18.40666632,19512024,44.45889887,47128746,2144345,25.49,21857658,390.425,331225,41680,22219,987,1790,30000000,1321300000,120000000,30000000,1321300000,120000000,1996.392573,27.30372296,4.308763479,40.13350986,14.92136158,11.04965546,13.05668985,3.482020696,547927373,5.836,270.915,325,0,1.75,2.18,4243,6661
2006,2006,18.76937335,17.54099669,19.52,2.807731224,3020000,18.46529449,19861299,51.50184288,55395461,2680374,29.78,21243010,456.958,317856,45161,24620,1041,1982,53100000,2744430000,801000000,53100000,2744430000,801000000,2020.952871,21.79696046,4.214862569,46.32508669,15.3606256,11.80983856,12.32884151,3.343792579,535420079.4,5.655,282.052,344,0,1.87,2.2,4245,2940
2007,2007,17.71361898,13.50520036,20.81,4.126043132,4504422,18.31804621,19997903,60.96835755,66559462,1661288,30.98,20952513,482.34,309633,54610,28608,943,1939,306500000,6146400000,120000000,306500000,6146400000,120000000,2047.531118,20.25128924,3.92842064,49.79794324,15.26885612,10.30640248,11.93190386,2.753845563,482918854.5,5.766,292.359,403,0,1.91,2.27,4344,6151
2008,2008,19.53446412,16.11243204,21.71,6.797468374,7532633,18.4915218,20491430,67.95405391,75303469,3312717.195,31.17,18825976,482.785,266244,56592,27695,1188,1993,38900000,905080000,562000000,38900000,905080000,562000000,2046.694449,18.82145443,3.640346806,52.0969868,15.37567532,14.55321835,7.898186139,2.260716465,406308085.3,5.699,295.853,446,0,1.94,2.3,4379,559
