"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PHARMAEXP","TOT","USD_CAP","A","1998",258.948,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1999",287.245,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2000",338.16,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2001",367.652,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2002",381.433,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2003",406.171,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2004",441.008,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2005",437.125,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2006",457.501,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2007",486.075,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2008",516.333,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2009",531.594,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2010",561.965,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2011",583.222,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2012",589.993,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2013",613.247,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2014",602.887,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2015",635.229,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2016",672.576,
"AUT","PHARMAEXP","TOT","USD_CAP","A","1998",287.437,
"AUT","PHARMAEXP","TOT","USD_CAP","A","1999",322.489,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2000",356.852,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2001",368.574,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2002",407.91,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2003",435.147,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2004",453.999,"B"
"AUT","PHARMAEXP","TOT","USD_CAP","A","2005",460.159,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2006",481.972,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2007",511.719,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2008",538.527,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2009",507.167,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2010",520.232,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2011",534.067,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2012",553.478,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2013",566.622,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2014",590.012,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2015",607.802,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2016",617.296,
"AUT","PHARMAEXP","TOT","USD_CAP","A","2017",646.002,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2003",497.653,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2004",520.798,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2005",519.463,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2006",517.172,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2007",541.871,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2008",569.867,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2009",576.823,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2010",596.042,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2011",607.533,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2012",600.47,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2013",617.653,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2014",613.858,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2015",653.03,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2016",666.936,
"BEL","PHARMAEXP","TOT","USD_CAP","A","2017",688.71,
"CAN","PHARMAEXP","TOT","USD_CAP","A","1998",345.411,
"CAN","PHARMAEXP","TOT","USD_CAP","A","1999",369.052,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2000",406.893,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2001",443.805,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2002",480.974,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2003",519.871,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2004",561.586,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2005",594.472,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2006",625.136,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2007",656.886,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2008",674.522,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2009",693.032,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2010",755.989,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2011",758.983,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2012",754.877,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2013",756.346,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2014",768.084,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2015",783.729,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2016",793.606,
"CAN","PHARMAEXP","TOT","USD_CAP","A","2017",805.78,"P"
"CAN","PHARMAEXP","TOT","USD_CAP","A","2018",831.787,"P"
"CZE","PHARMAEXP","TOT","USD_CAP","A","1998",223.158,
"CZE","PHARMAEXP","TOT","USD_CAP","A","1999",229.864,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2000",252.856,"B"
"CZE","PHARMAEXP","TOT","USD_CAP","A","2001",289.713,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2002",317.795,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2003",351.185,"B"
"CZE","PHARMAEXP","TOT","USD_CAP","A","2004",375.895,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2005",391.508,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2006",365.978,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2007",368.716,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2008",381.104,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2009",454.695,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2010",408.588,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2011",417.199,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2012",449.373,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2013",444.047,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2014",442.845,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2015",444.375,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2016",458.042,
"CZE","PHARMAEXP","TOT","USD_CAP","A","2017",484.115,
"DNK","PHARMAEXP","TOT","USD_CAP","A","1998",198.359,
