"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2000","2000",500,"E","Estimated value"
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2001","2001",560,"E","Estimated value"
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2002","2002",670,"E","Estimated value"
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2003","2003",800,"E","Estimated value"
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2004","2004",910,"E","Estimated value"
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2005","2005",1040,"E","Estimated value"
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2006","2006",1160,"E","Estimated value"
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2009","2009",849,"B","Break"
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2010","2010",949,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2011","2011",990,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2012","2012",1148,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2013","2013",1241,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2014","2014",1316,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2015","2015",1418,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2016","2016",1524,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2017","2017",1583,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","AUS","Australia","2018","2018",1681,,
